"Date(UTC)","Pair","Side","Price","Executed","Amount","Fee"
"2024-12-06 18:48:29","ETCUSDT","SELL","39","5.18ETC","202.02USDT","0.20202USDT"
"2024-11-22 09:00:12","TRXUSDT","SELL","0.1989","503.5TRX","100.14615USDT","0.10014615USDT"
"2024-11-22 08:55:29","BTCUSDT","SELL","98892","0.0017BTC","168.1164USDT","0.1681164USDT"
"2024-11-18 10:20:56","XLMUSDT","SELL","0.2404","577XLM","138.7108USDT","0.1387108USDT"
"2024-11-15 02:40:09","XRPUSDT","SELL","0.8163","564XRP","460.3932USDT","0.4603932USDT"
"2024-11-12 09:20:53","DOGEUSDT","SELL","0.4251","4220DOGE","1793.922USDT","1.793922USDT"
"2024-11-10 17:55:12","DOGEUSDT","SELL","0.2785","2057DOGE","572.8745USDT","0.5728745USDT"
"2024-11-10 09:29:16","DOGEUSDT","SELL","0.2367","749DOGE","177.2883USDT","0.1772883USDT"
"2024-11-10 09:29:16","DOGEUSDT","SELL","0.2367","42DOGE","9.9414USDT","0.0099414USDT"
"2024-11-10 09:29:16","DOGEUSDT","SELL","0.2367","370DOGE","87.579USDT","0.087579USDT"
"2024-03-05 03:16:08","SHIBUSDT","SELL","0.00004278","3334159SHIB","142.63532202USDT","0.14263532USDT"
"2024-03-04 23:07:21","ETHUSDT","SELL","3633","0.6409ETH","2328.3897USDT","2.3283897USDT"
"2024-03-04 19:26:40","SHIBUSDT","SELL","0.0000345","3334159SHIB","115.0284855USDT","0.11502849USDT"
"2024-03-01 18:30:35","SHIBUSDT","SELL","0.0000151","6668318SHIB","100.6916018USDT","0.1006916USDT"
"2022-04-26 23:18:11","ETHUSDT","BUY","2795","0.5469ETH","1528.5855USDT","0.0005469ETH"
"2022-02-08 05:10:47","SHIBUSDT","SELL","0.0000345","11836428SHIB","408.356766USDT","0.40835677USDT"
"2022-02-07 23:06:46","SHIBUSDT","SELL","0.00003349","11836427SHIB","396.40194023USDT","0.39640194USDT"
"2022-02-07 22:50:11","XRPUSDT","SELL","0.8308","563XRP","467.7404USDT","0.4677404USDT"
"2022-02-07 22:45:28","SHIBUSDT","SELL","0.00003265","7890951SHIB","257.63955015USDT","0.25763955USDT"
"2021-12-02 03:04:03","SHIBUSDT","BUY","0.00004205","8699244SHIB","365.8032102USDT","8699.24SHIB"
"2021-12-02 00:09:08","SHIBUSDT","BUY","0.00004351","6500895SHIB","282.85394145USDT","6500.9SHIB"
"2021-12-01 09:04:09","SHIBUSDT","BUY","0.0000445","11235955SHIB","499.9999975USDT","11235.96SHIB"
"2021-11-30 10:53:12","SHIBUSDT","SELL","0.00005165","10261374SHIB","529.9999671USDT","0.52999997USDT"
"2021-11-30 05:22:04","SHIBUSDT","SELL","0.00004922","200294SHIB","9.85847068USDT","0.00985847USDT"
"2021-11-30 05:22:04","SHIBUSDT","SELL","0.00004921","4953854SHIB","243.77915534USDT","0.24377916USDT"
"2021-11-30 04:54:03","AXSUSDT","BUY","134.37","0.14AXS","18.8118USDT","0.00014AXS"
"2021-11-30 03:04:47","SHIBUSDT","SELL","0.00004645","8288482SHIB","384.9999889USDT","0.38499999USDT"
"2021-11-28 18:20:17","XLMUSDT","BUY","0.3038","83XLM","25.2154USDT","0.083XLM"
