Financial Year,Trans Ref,Date,Description,Type,Lot Reference,Qty Change,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR),Balance Units,Balance Value (ZAR)
2018,,2017-08-27 19:49:41,Deposit received,Other,,10000.00000000,,,,,,10000.00000000,0.00
2018,S_ZAR_000,2017-08-28 19:43:03,"Bought BTC 0.15934 for ZAR 10,000.00",Other,N/A,-10000.00000000,0.00,0.00,0.00,0.00,0.00,0E-8,0.00
2018,,2017-09-01 21:49:16,Deposit received,Other,,5000.00000000,,,,,,5000.00000000,0.00
2018,S_ZAR_001,2017-09-01 22:13:39,"Bought BTC 0.07241 for ZAR 5,000.00",Other,N/A,-5000.00000000,0.00,0.00,0.00,0.00,0.00,0E-8,0.00
2018,,2017-09-04 16:05:26,Deposit received,Other,,5000.00000000,,,,,,5000.00000000,0.00
2018,S_ZAR_002,2017-09-04 16:43:08,"Bought BTC 0.07758 for ZAR 5,000.00",Other,N/A,-5000.00000000,0.00,0.00,0.00,0.00,0.00,0E-8,0.00
2018,,2017-09-17 21:49:38,Deposit received,Other,,10000.00000000,,,,,,10000.00000000,0.00
2018,S_ZAR_003,2017-11-01 08:38:18,"Bought BTC 0.04741216 for ZAR 5,000.00",Other,N/A,-5000.00000000,0.00,0.00,0.00,0.00,0.00,5000.00000000,0.00
2018,,2017-12-09 14:20:04,Deposit received,Other,,5000.00000000,,,,,,10000.00000000,0.00
2018,S_ZAR_004,2017-12-09 15:29:22,"Bought BTC 0.02076245 for ZAR 5,000.00",Other,N/A,-5000.00000000,0.00,0.00,0.00,0.00,0.00,5000.00000000,0.00
2018,,2017-12-11 10:49:41,Deposit received,Other,,10000.00000000,,,,,,15000.00000000,0.00
2018,,2017-12-11 15:19:43,Deposit received,Other,,5000.00000000,,,,,,20000.00000000,0.00
2018,S_ZAR_005,2017-12-13 12:59:38,"Bought BTC 0.01829724 for ZAR 5,000.00",Other,N/A,-5000.00000000,0.00,0.00,0.00,0.00,0.00,15000.00000000,0.00
