Boughts for FY,2024
Date,Currency,Description,Trans Ref,Lot Ref,Qty Bought,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2023-12-08 11:45:18,XRP,Received Ripple into Ripple from bittrex,B_XRP_001,027c571f,749.80000000,12.46,9339.61,0.00,0.00,0.00
2023-12-08 11:58:07,XBT,Received Bitcoin,B_XBT_029,c78b0fbd,0.00170000,836411.76,1421.90,0.00,0.00,0.00
2023-12-08 12:10:39,ETH,Received Ethereum into Ethereum from Bittrex,B_ETH_000,1ff28d5d,0.00700000,45231.43,316.62,0.00,0.00,0.00
2023-12-08 12:23:05,LTC,Received Litecoin into Litecoin from bittrex,B_LTC_000,6031c3f6,3.49900000,1449.67,5072.39,0.00,0.00,0.00
2023-12-08 12:39:49,ETH,Received Ethereum into Ethereum from Bittrex,B_ETH_001,769c2bd4,2.98700000,45243.76,135143.12,0.00,0.00,0.00
2023-12-08 12:48:08,XBT,Received Bitcoin,B_XBT_030,364721fe,0.20409362,837159.98,170859.01,0.00,0.00,0.00
2024-02-15 00:23:54,ZAR,"Sold 0.053751 BTC/ZAR @ 1,000,000",B_ZAR_019,40253547,53751.00000000,0.00,0.00,0.00,0.00,0.00

Solds for FY,2024
Date,Currency,Description,Trans Ref,Lot Ref,Qty Sold,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2024-02-15 00:23:54,XBT,"Sold 0.053751 BTC/ZAR @ 1,000,000",S_XBT_017,1241cc50,-0.00454131,800000.00,3633.05,4541.31,908.26,0.00
2024-02-15 00:23:54,XBT,"Sold 0.053751 BTC/ZAR @ 1,000,000",S_XBT_017,66bea72d,-0.00012422,805989.37,100.12,124.22,24.10,0.00
2024-02-15 00:23:54,XBT,"Sold 0.053751 BTC/ZAR @ 1,000,000",S_XBT_017,9ac5ebff,-0.00483800,900000.00,4354.20,4838.00,483.80,0.00
2024-02-15 00:23:54,XBT,"Sold 0.053751 BTC/ZAR @ 1,000,000",S_XBT_017,741457e8,-0.00500000,850000.00,4250.00,5000.00,750.00,0.00
2024-02-15 00:23:54,XBT,"Sold 0.053751 BTC/ZAR @ 1,000,000",S_XBT_017,1f7e2542,-0.01000000,800000.00,8000.00,10000.00,2000.00,0.00
2024-02-15 00:23:54,XBT,"Sold 0.053751 BTC/ZAR @ 1,000,000",S_XBT_017,9e7ed68a,-0.00500000,700200.00,3501.00,5000.00,1499.00,0.00
2024-02-15 00:23:54,XBT,"Sold 0.053751 BTC/ZAR @ 1,000,000",S_XBT_017,c30d091f,-0.00584600,600198.43,3508.76,5846.00,2337.24,0.00
2024-02-15 00:23:54,XBT,"Sold 0.053751 BTC/ZAR @ 1,000,000",S_XBT_017,3f3563d3,-0.00599700,500198.43,2999.69,5997.00,2997.31,0.00
2024-02-15 00:23:54,XBT,"Sold 0.053751 BTC/ZAR @ 1,000,000",S_XBT_017,a7ec9842,-0.01007400,402999.80,4059.82,10074.00,6014.18,0.00
2024-02-15 00:23:54,XBT,"Sold 0.053751 BTC/ZAR @ 1,000,000",S_XBT_017,c78b0fbd,-0.00170000,836411.76,1421.90,1700.00,278.10,0.00
2024-02-15 00:23:54,XBT,"Sold 0.053751 BTC/ZAR @ 1,000,000",S_XBT_017,364721fe,-0.00063047,837159.98,527.80,630.47,102.67,0.00

Buys for Others FY,2024
Date,Currency,Description,Trans Ref,Lot Ref,Qty Bought,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)

Others for FY,2024
Date,Currency,Description,Trans Ref,Lot Ref,Qty Other,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)

Balances at end of FY,2024
Currency,Total Units,Total Value (ZAR),Lot Ref,Lot Qty,Lot Unit Cost (ZAR),Lot Total Value (ZAR)
ETH,2.99400000,135459.73,,,,
ETH,,,1ff28d5d,0.00700000,45231.43,316.62
ETH,,,769c2bd4,2.98700000,45243.76,135143.11
LTC,3.49900000,5072.40,,,,
LTC,,,6031c3f6,3.49900000,1449.67,5072.40
XBT,0.19870684,170331.21,,,,
XBT,,,364721fe,0.20346315,837159.98,170331.21
XRP,750.46400000,9362.51,,,,
XRP,,,1c634e58,1.00000000,20.00,20.00
XRP,,,027c571f,749.80000000,12.46,9342.51
ZAR,53751.16640000,0.00,,,,
ZAR,,,9fecb253,0.16640000,0.00,0.00
ZAR,,,40253547,53751.00000000,0.00,0.00
Selling Fees
Date,Description,Trans Ref,Lot Ref,Fee (ZAR)
2024-02-15 00:23:54,"Fee for Sold 0.053751 BTC/ZAR @ 1,000,000",S_XBT_017,,214.26
Total Selling Fees,,,,214.26

