Boughts for FY,2025
Date,Currency,Description,Trans Ref,Lot Ref,Qty Bought,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2024-03-11 07:13:01,ZAR,"Sold 0.036805 BTC/ZAR @ 1,350,000",B_ZAR_020,f4f316fc,49686.75000000,0.00,0.00,0.00,0.00,0.00
2024-08-05 12:28:45,XBT,"Bought 0.026315 BTC/ZAR @ 950,000",B_XBT_031,7124ac46,0.02631500,950000.00,24999.25,0.00,0.00,0.00
2024-11-11 06:24:59,ZAR,"Sold 0.026315 BTC/ZAR @ 1,430,000",B_ZAR_021,4b5c9b37,37630.45000000,0.00,0.00,0.00,0.00,0.00
2024-11-11 12:40:09,ZAR,"Sold 0.0376 BTC/ZAR @ 1,489,900",B_ZAR_022,ab5cbcf9,56020.24000000,0.00,0.00,0.00,0.00,0.00
2024-11-13 15:28:13,ZAR,"Sold 0.002461 BTC/ZAR @ 1,650,000",B_ZAR_023,5cc7598c,4060.65000000,0.00,0.00,0.00,0.00,0.00
2024-11-13 15:28:25,ZAR,"Sold 0.037893 BTC/ZAR @ 1,650,000",B_ZAR_024,afed4a34,62523.45000000,0.00,0.00,0.00,0.00,0.00
2024-12-05 07:44:47,ZAR,Sold 194.00 XRP/ZAR @ 43.40,B_ZAR_025,3a6478da,8419.60000000,0.00,0.00,0.00,0.00,0.00
2024-12-05 07:44:51,ZAR,Sold 554.00 XRP/ZAR @ 43.40,B_ZAR_026,a2dc4568,24043.60000000,0.00,0.00,0.00,0.00,0.00

Solds for FY,2025
Date,Currency,Description,Trans Ref,Lot Ref,Qty Sold,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2024-03-11 07:13:01,XBT,"Sold 0.036805 BTC/ZAR @ 1,350,000",S_XBT_018,364721fe,-0.03680500,837159.98,30811.67,49686.75,18875.08,0.00
2024-11-11 06:24:59,XBT,"Sold 0.026315 BTC/ZAR @ 1,430,000",S_XBT_019,364721fe,-0.02631500,837159.98,22029.86,37630.45,15600.59,0.00
2024-11-11 12:40:08,XBT,"Sold 0.0376 BTC/ZAR @ 1,489,900",S_XBT_020,364721fe,-0.03760000,837159.98,31477.22,56020.24,24543.02,0.00
2024-11-13 15:28:13,XBT,"Sold 0.002461 BTC/ZAR @ 1,650,000",S_XBT_021,364721fe,-0.00246100,837159.98,2060.25,4060.65,2000.40,0.00
2024-11-13 15:28:25,XBT,"Sold 0.037893 BTC/ZAR @ 1,650,000",S_XBT_022,364721fe,-0.03789300,837159.98,31722.50,62523.45,30800.95,0.00
2024-12-05 07:44:47,XRP,Sold 194.00 XRP/ZAR @ 43.40,S_XRP_001,1c634e58,-1.00000000,20.00,20.00,43.40,23.40,0.00
2024-12-05 07:44:47,XRP,Sold 194.00 XRP/ZAR @ 43.40,S_XRP_001,027c571f,-193.00000000,12.46,2404.03,8376.20,5972.17,0.00
2024-12-05 07:44:51,XRP,Sold 554.00 XRP/ZAR @ 43.40,S_XRP_002,027c571f,-554.00000000,12.46,6900.70,24043.60,17142.90,0.00

Buys for Others FY,2025
Date,Currency,Description,Trans Ref,Lot Ref,Qty Bought,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)

Others for FY,2025
Date,Currency,Description,Trans Ref,Lot Ref,Qty Other,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2024-08-05 12:28:45,ZAR,"Bought 0.026315 BTC/ZAR @ 950,000",S_ZAR_029,9fecb253,-0.16640000,0.00,0.00,0.00,0.00,0.00
2024-08-05 12:28:45,ZAR,"Bought 0.026315 BTC/ZAR @ 950,000",S_ZAR_029,40253547,-24999.08360000,0.00,0.00,0.00,0.00,0.00

Balances at end of FY,2025
Currency,Total Units,Total Value (ZAR),Lot Ref,Lot Qty,Lot Unit Cost (ZAR),Lot Total Value (ZAR)
ETH,2.99400000,135459.73,,,,
ETH,,,1ff28d5d,0.00700000,45231.43,316.62
ETH,,,769c2bd4,2.98700000,45243.76,135143.11
LTC,3.49900000,5072.40,,,,
LTC,,,6031c3f6,3.49900000,1449.67,5072.40
XBT,0.08339067,77228.95,,,,
XBT,,,364721fe,0.06238915,837159.98,52229.70
XBT,,,7124ac46,0.02631500,950000.00,24999.25
XRP,0.22000000,34.89,,,,
XRP,,,027c571f,2.80000000,12.46,34.89
ZAR,271136.65640000,0.00,,,,
ZAR,,,40253547,28751.91640000,0.00,0.00
ZAR,,,f4f316fc,49686.75000000,0.00,0.00
ZAR,,,4b5c9b37,37630.45000000,0.00,0.00
ZAR,,,ab5cbcf9,56020.24000000,0.00,0.00
ZAR,,,5cc7598c,4060.65000000,0.00,0.00
ZAR,,,afed4a34,62523.45000000,0.00,0.00
ZAR,,,3a6478da,8419.60000000,0.00,0.00
ZAR,,,a2dc4568,24043.60000000,0.00,0.00
Buying Fees
Date,Description,Trans Ref,Lot Ref,Fee (ZAR)
2024-08-05 12:28:45,"Fee for Bought 0.026315 BTC/ZAR @ 950,000",B_XBT_031,,100.25
Total Buying Fees,,,,100.25

Selling Fees
Date,Description,Trans Ref,Lot Ref,Fee (ZAR)
2024-11-11 06:24:59,"Fee for Sold 0.026315 BTC/ZAR @ 1,430,000",S_XBT_019,,150.63
2024-11-11 12:40:09,"Fee for Sold 0.0376 BTC/ZAR @ 1,489,900",S_XBT_020,,335.83
2024-11-13 15:28:13,"Fee for Sold 0.002461 BTC/ZAR @ 1,650,000",S_XBT_021,,12.14
2024-11-13 15:28:25,"Fee for Sold 0.037893 BTC/ZAR @ 1,650,000",S_XBT_022,,187.00
2024-12-05 07:44:47,Fee for Sold 194.00 XRP/ZAR @ 43.40,S_XRP_001,,25.17
2024-12-05 07:44:51,Fee for Sold 554.00 XRP/ZAR @ 43.40,S_XRP_002,,71.88
Total Selling Fees,,,,782.65

