Boughts for FY,2022
Date,Currency,Description,Trans Ref,Lot Ref,Qty Bought,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2021-03-23 06:09:09,XBT,"Bought 0.004838 BTC/ZAR @ 800,000",B_XBT_020,1241cc50,0.00483800,800000.00,3870.40,0.00,0.00,0.00
2021-03-26 03:42:38,XBT,Received Bitcoin from Antonie: Transfer from Luno Test 1,B_XBT_021,66bea72d,0.00012422,805989.37,100.12,0.00,0.00,0.00
2021-04-16 11:22:00,XBT,"Bought 0.004838 BTC/ZAR @ 900,000",B_XBT_022,9ac5ebff,0.00483800,900000.00,4354.20,0.00,0.00,0.00
2021-04-18 08:56:11,XBT,"Bought 0.005 BTC/ZAR @ 850,000",B_XBT_023,741457e8,0.00500000,850000.00,4250.00,0.00,0.00,0.00
2021-04-18 17:46:58,XRP,Bought 337.00 XRP/ZAR @ 20.00,B_XRP_000,1c634e58,337.00000000,20.00,6740.00,0.00,0.00,0.00
2021-04-21 22:42:42,XBT,"Bought 0.01 BTC/ZAR @ 800,000",B_XBT_024,1f7e2542,0.01000000,800000.00,8000.00,0.00,0.00,0.00
2021-05-13 00:02:06,XBT,"Bought 0.005 BTC/ZAR @ 700,200",B_XBT_025,9e7ed68a,0.00500000,700200.00,3501.00,0.00,0.00,0.00
2021-05-19 01:37:20,XBT,"Bought 0.005846 BTC/ZAR @ 600,200",B_XBT_026,c30d091f,0.00584600,600198.43,3508.76,0.00,0.00,0.00
2021-05-19 12:53:02,XBT,"Bought 0.005997 BTC/ZAR @ 500,200",B_XBT_027,3f3563d3,0.00599700,500198.43,2999.69,0.00,0.00,0.00

Solds for FY,2022
Date,Currency,Description,Trans Ref,Lot Ref,Qty Sold,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2021-03-13 10:31:27,XBT,"Sold 0.002434 BTC/ZAR @ 900,000",S_XBT_015,4dac9a05,-0.00243400,110000.00,267.74,2190.60,1922.86,0.00
2021-03-31 06:34:16,XBT,"Sold 0.004838 BTC/ZAR @ 900,000",S_XBT_016,4dac9a05,-0.00154131,110000.00,169.54,1387.18,1217.63,0.00
2021-03-31 06:34:16,XBT,"Sold 0.004838 BTC/ZAR @ 900,000",S_XBT_016,b5e7b125,-0.00300000,500000.00,1500.00,2700.00,1200.00,0.00
2021-03-31 06:34:16,XBT,"Sold 0.004838 BTC/ZAR @ 900,000",S_XBT_016,1241cc50,-0.00029669,800000.00,237.35,267.02,29.67,0.00
2021-05-19 09:30:35,XRP,Sold 336.00 XRP/ZAR @ 21.01,S_XRP_000,1c634e58,-336.00000000,20.00,6720.00,7059.36,339.36,0.00

Buys for Others FY,2022
Date,Currency,Description,Trans Ref,Lot Ref,Qty Bought,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)

Others for FY,2022
Date,Currency,Description,Trans Ref,Lot Ref,Qty Other,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)

Balances at end of FY,2022
Currency,Total Units,Total Value (ZAR),Lot Ref,Lot Qty,Lot Unit Cost (ZAR),Lot Total Value (ZAR)
XBT,0.03680522,29782.95,,,,
XBT,,,1241cc50,0.00454131,800000.00,3633.05
XBT,,,66bea72d,0.00012422,805989.37,100.12
XBT,,,9ac5ebff,0.00483800,900000.00,4354.20
XBT,,,741457e8,0.00500000,850000.00,4250.00
XBT,,,1f7e2542,0.01000000,800000.00,8000.00
XBT,,,9e7ed68a,0.00500000,700200.00,3501.00
XBT,,,c30d091f,0.00584600,600198.43,3508.76
XBT,,,3f3563d3,0.00599700,500198.43,2999.69
XRP,0.66400000,12.95,,,,
XRP,,,1c634e58,1.00000000,20.00,20.00
Selling Fees
Date,Description,Trans Ref,Lot Ref,Fee (ZAR)
2021-05-19 09:30:35,Fee for Sold 336.00 XRP/ZAR @ 21.01,S_XRP_000,,7.05
Total Selling Fees,,,,7.05

