Boughts for FY,2026
Date,Currency,Description,Trans Ref,Lot Ref,Qty Bought,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2025-04-10 10:41:40,ETH,"Bought 2.00 ETH/ZAR @ 31,420",B_ETH_002,1be52889,2.00000000,31420.00,62840.00,0.00,0.00,0.00

Solds for FY,2026
Date,Currency,Description,Trans Ref,Lot Ref,Qty Sold,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)

Buys for Others FY,2026
Date,Currency,Description,Trans Ref,Lot Ref,Qty Bought,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)

Others for FY,2026
Date,Currency,Description,Trans Ref,Lot Ref,Qty Other,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)

Balances at end of FY,2026
Currency,Total Units,Total Value (ZAR),Lot Ref,Lot Qty,Lot Unit Cost (ZAR),Lot Total Value (ZAR)
ETH,4.98600000,198049.09,,,,
ETH,,,1ff28d5d,0.00700000,45231.43,316.62
ETH,,,769c2bd4,2.98700000,45243.76,135143.11
ETH,,,1be52889,2.00000000,31420.00,62840.00
LTC,3.49900000,5072.39,,,,
LTC,,,6031c3f6,3.49900000,1449.67,5072.40
XBT,0.08339067,75664.97,,,,
XBT,,,364721fe,0.06238915,837159.98,52229.70
XBT,,,7124ac46,0.02631500,950000.00,24999.25
XRP,0.22000000,-69.22,,,,
XRP,,,027c571f,2.80000000,12.46,34.89
Buying Fees
Date,Description,Trans Ref,Lot Ref,Fee (ZAR)
2025-04-10 10:41:40,"Fee for Bought 2.00 ETH/ZAR @ 31,420",B_ETH_002,,250.65
Total Buying Fees,,,,250.65

