Financial Year,Trans Ref,Date,Description,Type,Lot Reference,Qty Change,Balance Units,Total Cost (ZAR),Balance Value (ZAR),Fee (ZAR),Proceeds (ZAR),Profit (ZAR),Unit Cost (ZAR)
FY2017,b98eb80d,2017-08-28 21:43:03,"Bought BTC 0.15934 for ZAR 10,000.00",in_buy_for_other,in_buy_for_other_XXXXXXX,0.15934,0.15934,10000,10000.0000000000000000048,0,0,0,62758.88038157399272
FY2017,037b4604,2017-08-28 22:09:07,Test Transaction,out_other,in_buy_for_other_231126a,-0.00149004,0.15784996,0,9906.4867578762394878922912,0,91.632030259233062907,-1.8812118645274492055088,62758.88038157399272
FY2017,037b4604,2017-08-28 22:09:07,Bitcoin send fee,out_other,in_buy_for_other_231126a,-0.00149004,0.15635992,0,9812.9735157524789757797824,0,91.64,-1.8732421237605121125088,62758.88038157399272
FY2017,b4ca59cc,2017-09-02 00:13:39,"Bought BTC 0.07241 for ZAR 5,000.00",in_buy_for_other,in_buy_for_other_XXXXXXX,0.07241,0.22876992,5000,15796.845739538737743394871424,0,0,0,69051.2360171247065322
FY2017,651305a8,2017-09-02 00:13:40,Ants bitcoin,out_other,in_buy_for_other_231126a,-0.00078679,0.22798313,0,14307.9659846868331869028136,0,53.241281552446623464,3.8632220570280217318312,62758.88038157399272
FY2017,651305a8,2017-09-02 00:13:40,Bitcoin send fee,out_other,in_buy_for_other_231126a,-0.00078679,0.22719634,0,14258.5879251914145851706448,0,53.24,3.8619405045813982678312,62758.88038157399272
FY2017,975ad480,2017-09-04 18:43:08,"Bought BTC 0.07758 for ZAR 5,000.00",in_buy_for_other,in_buy_for_other_XXXXXXX,0.07758,0.30477634,5000,19642.713328177365300348659966,0,0,0,64449.6004124774426399
FY2017,12a372f1,2017-09-04 18:43:10,ants 2nd half,out_other,in_buy_for_other_231126a,-0.00091817,0.30385817,0,19069.7985439939751474925224,0,58.071488863492973826,0.4481676635431809302776,62758.88038157399272
FY2017,12a372f1,2017-09-04 18:43:10,Bitcoin send fee,out_other,in_buy_for_other_231126a,-0.00091817,0.30294,0,19012.1752227940253545968,0,58.07,0.4466788000502071042776,62758.88038157399272
FY2017,b00e5f81,2017-11-01 10:38:18,"Bought BTC 0.04741216 for ZAR 5,000.00",in_buy_for_other,in_buy_for_other_XXXXXXX,0.04741216,0.35035216,5000,36947.500388086094369027214992,0,0,0,105458.1778176737782037
FY2017,f453b6fb,2017-12-09 17:29:22,"Bought BTC 0.02076245 for ZAR 5,000.00",in_buy_for_other,in_buy_for_other_XXXXXXX,0.02076245,0.37111461,5000,89371.584278348653458544907955,0,0,0,240819.3638034047041655
FY2017,aa239e16,2017-12-09 17:32:03,ripple time,out_other,in_buy_for_other_231126a,-0.00000045,0.37111416,0,23290.7091753483117861289152,0,0.106225965706518708,0.077984469534810411276,62758.88038157399272
FY2017,aa239e16,2017-12-09 17:32:03,Bitcoin send fee,out_other,in_buy_for_other_231126a,-0.00000045,0.37111371,0,23290.6809338521400778321912,0,0.1,0.071758503828291703276,62758.88038157399272
FY2017,777d8006,2017-12-13 14:59:38,"Bought BTC 0.01829724 for ZAR 5,000.00",in_buy_for_other,in_buy_for_other_XXXXXXX,0.01829724,0.38941095,5000,106412.483522104973209088912985,0,0,0,273265.2574923868299263
