Financial Year,Sale Reference,Lot Reference,Quantity Sold,Unit Cost (ZAR),Total Cost (ZAR),Selling Price (ZAR),Proceeds (ZAR),Profit/Loss (ZAR),Fee Reference,Fee Amount (ZAR)
FY2018,ce144de5,in_buy_ea85a66628303a,0.014,260000,3640,135000,1890,-1750,,0
FY2018,ce144de5,in_buy_ccb472570c3835,0.02,290000,5800,135000,2700,-3100,,0
FY2019,a23998fc,in_buy_ea85a66628303a,0.001,260000,260,134999.8811589380362703,134.9998811589380362703,-125.0001188410619637297,,0
FY2019,a23998fc,in_buy_8edcc0644be54e,0.022391,230000,5149.93,134999.8811589380362703,3022.7823390297815701282873,-2127.1476609702184298717127,,0
FY2019,a23998fc,in_buy_e54dddb64eb690,0.018682,200000,3736.4,134999.8811589380362703,2522.0677798112803936017446,-1214.3322201887196063982554,,0
FY2020,5e4255b8,in_buy_e0da843a4d1c8d,0.002932,150000,439.8,700000,2052.4,1612.6,,0
FY2020,5e4255b8,in_buy_e761f332ca9414,0.007068,170000,1201.56,700000,4947.6,3746.04,,0
FY2020,a2a596aa,in_buy_e0da843a4d1c8d,0.005,150000,750,800000,4000,3250,,0
FY2020,b0a4cb1f,in_buy_e761f332ca9414,0.01,170000,1700,650000,6500,4800,,0
FY2020,e6bc207a,in_buy_e54dddb64eb690,0.007068,200000,1413.6,600000,4240.8,2827.2,,0
FY2020,e6bc207a,in_buy_e761f332ca9414,0.002932,170000,498.44,600000,1759.2,1260.76,,0
FY2021,,,0.336,0,0,0,0,0,9fecb253,7.05
FY2021,295df32e,in_buy_e0da843a4d1c8d,0.004838,150000,725.7,900000,4354.2,3628.5,,0
FY2021,9fecb253,in_buy_31e76929561974,336,20,6720,21.01,7059.36,339.36,,0
FY2021,cc148aa4,in_buy_e0da843a4d1c8d,0.002434,150000,365.1,900000,2190.6,1825.5,,0
FY2023,,,0.000215,0,0,0,0,0,40253547,214.26
FY2023,40253547,in_buy_e0da843a4d1c8d,0.004796,150000,719.4,1000000,4796,4076.6,,0
FY2023,40253547,in_buy_ffceb5d36f15a4,0.020001,180000,3600.18,1000000,20001,16400.82,,0
FY2023,40253547,in_buy_b34311f5ea93cf,0.024659,146999.8783405653108399,3624.8700000000000000010941,1000000,24659,21034.1299999999999999989059,,0
FY2023,40253547,in_buy_3c727d3de9fe57,0.004295,156999.8185008167463246,674.314220461007925464157,1000000,4295,3620.685779538992074535843,,0
FY2024,,,0.00000738,0,0,0,0,0,5cc7598c,12.14
FY2024,,,0.0002256,0,0,0,0,0,ab5cbcf9,335.83
FY2024,,,0.00010526,0,0,0,0,0,7124ac46,100.25
FY2024,,,0.00010526,0,0,0,0,0,4b5c9b37,150.63
FY2024,,,0.00011367,0,0,0,0,0,afed4a34,187
FY2024,,,0.582,0,0,0,0,0,3a6478da,25.17
FY2024,,,1.662,0,0,0,0,0,a2dc4568,71.88
FY2024,3a6478da,in_buy_31e76929561974,0.664,20,13.28,43.4,28.8176,15.5376,,0
FY2024,3a6478da,in_other_440023b08a9aa9,193.336,12.4561349693251534,2408.2193104294478577424,43.4,8390.7824,5982.5630895705521422576,,0
