Financial Year,Coin,Lot Reference,Quantity,Date of Original Purchase,Unit Cost (ZAR),Total Cost (ZAR),Pool
FY2024,eth,in_other_5f974011cc74d4,0.007,2023-12-08 14:10:39,45231.4285714285714286,316.6200000000000000002,in_other
FY2024,eth,in_other_523707c49803f2,2.987,2023-12-08 14:39:49,45243.7629728824907934,135143.1199999999999998858,in_other
FY2026,eth,in_buy_9f1aa62adbd007,1.992,2025-04-10 12:41:40,31420,62588.64,in_buy
FY2024,eth,Total,2.994,,0,135459.739999999999999886,
FY2026,eth,Total,1.992,,0,62588.64,
FY2024,ltc,in_other_de5502fc177ad0,3.499,2023-12-08 14:23:05,1449.6684767076307516,5072.3899999999999998484,in_other
FY2024,ltc,Total,3.499,,0,5072.3899999999999998484,
FY2024,xbt,in_other_c3d0538cec773d,0.06277584,2023-12-08 14:48:08,837159.9758973357422932,52553.420701335004984479156288,in_other
FY2025,xbt,in_buy_39167e20a04860,0.02061483,2024-08-05 14:28:45,950000,19584.0885,in_buy
FY2024,xbt,Total,0.06277584,,0,52553.420701335004984479156288,
FY2025,xbt,Total,0.02061483,,0,19584.0885,
FY2024,xrp,in_other_440023b08a9aa9,0.22,2023-12-08 13:45:18,12.4561349693251534,2.740349693251533748,in_other
FY2024,xrp,Total,0.22,,0,2.740349693251533748,
