FY,Trans Ref,Date,Description,Type,Lot Ref,Qty Change,Unit Cost,Total Cost,Proceeds,Profit
2018,B_001,2017-08-28 19:43:03,"Bought BTC 0.15934 for ZAR 10,000.00",Buy,b98eb80d,0.15934000,62758.88,10000.00,0.00,0.00
2018,O_001,2017-08-28 20:09:07,Test Transaction,Other,b98eb80d,-0.00162595,62758.88,102.04,0.00,0.00
2018,F_001,2017-08-28 20:09:07,Bitcoin send fee,Fee,,-0.00149004,,,,
2018,O_002,2017-08-30 18:32:21,all bitcoin,Other,b98eb80d,-0.15622401,62758.88,9804.44,0.00,0.00
2018,B_002,2017-09-01 22:13:39,"Bought BTC 0.07241 for ZAR 5,000.00",Buy,b4ca59cc,0.07241000,69051.24,5000.00,0.00,0.00
2018,O_003,2017-09-01 22:13:40,Ants bitcoin,Other,b98eb80d,-0.00149004,62758.88,93.51,0.00,0.00
2018,O_003,2017-09-01 22:13:40,Ants bitcoin,Other,b4ca59cc,-0.07013317,69051.24,4842.78,0.00,0.00
2018,F_002,2017-09-01 22:13:40,Bitcoin send fee,Fee,,-0.00078679,,,,
2018,B_003,2017-09-04 16:43:08,"Bought BTC 0.07758 for ZAR 5,000.00",Buy,975ad480,0.07758000,64449.60,5000.00,0.00,0.00
2018,O_004,2017-09-04 16:43:10,ants 2nd half,Other,b4ca59cc,-0.00227683,69051.24,157.22,0.00,0.00
2018,O_004,2017-09-04 16:43:10,ants 2nd half,Other,975ad480,-0.07438500,64449.60,4794.08,0.00,0.00
2018,F_003,2017-09-04 16:43:10,Bitcoin send fee,Fee,,-0.00091817,,,,
2018,B_004,2017-11-01 08:38:18,"Bought BTC 0.04741216 for ZAR 5,000.00",Buy,b00e5f81,0.04741216,105458.18,5000.00,0.00,0.00
2018,O_005,2017-11-01 08:41:37,bruce investment,Other,975ad480,-0.00319500,64449.60,205.92,0.00,0.00
2018,O_005,2017-11-01 08:41:37,bruce investment,Other,b00e5f81,-0.04421716,105458.18,4663.06,0.00,0.00
2018,B_005,2017-12-09 15:29:22,"Bought BTC 0.02076245 for ZAR 5,000.00",Buy,f453b6fb,0.02076245,240819.36,5000.00,0.00,0.00
2018,O_006,2017-12-09 15:32:03,ripple time,Other,b00e5f81,-0.00319500,105458.18,336.94,0.00,0.00
2018,O_006,2017-12-09 15:32:03,ripple time,Other,f453b6fb,-0.01756700,240819.36,4230.47,0.00,0.00
2018,F_004,2017-12-09 15:32:03,Bitcoin send fee,Fee,,-4.5E-7,,,,
