Financial Year,Trans Ref,Date,Description,Type,Lot Reference,Qty Change,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR),Balance Units,Balance Value (ZAR)
2021,B000,2021-01-22 00:26:04,Bought 554.00 XRP/ZAR @ 4.00,Buy,0237ff1f,554.00000000,4.00,2216.00,0.00,0.00,0.00,554.00000000,2216.00
2021,B001,2021-01-22 00:26:04,Bought 696.00 XRP/ZAR @ 4.00,Buy,b2bc8fa6,696.00000000,4.00,2784.00,0.00,0.00,0.00,1250.00000000,5000.00
2021,S000,2021-01-30 10:39:18,Sold 3.00 XRP/ZAR @ 4.98,Sell,0237ff1f,-3.00000000,4.00,12.00,14.94,2.94,0.00,1247.00000000,4988.00
2021,S001,2021-01-30 10:39:20,Sold 101.00 XRP/ZAR @ 4.98,Sell,0237ff1f,-101.00000000,4.00,404.00,502.98,98.98,0.00,1146.00000000,4584.00
2021,S002,2021-01-30 10:39:20,Sold 99.00 XRP/ZAR @ 4.98,Sell,0237ff1f,-99.00000000,4.00,396.00,493.02,97.02,0.00,1047.00000000,4188.00
2021,S003,2021-01-30 10:39:22,Sold 20.00 XRP/ZAR @ 4.98,Sell,0237ff1f,-20.00000000,4.00,80.00,99.60,19.60,0.00,1027.00000000,4108.00
2021,S004,2021-01-30 10:39:22,Sold 99.00 XRP/ZAR @ 4.98,Sell,0237ff1f,-99.00000000,4.00,396.00,493.02,97.02,0.00,928.00000000,3712.00
2021,S005,2021-01-30 10:39:26,Sold 104.00 XRP/ZAR @ 4.98,Sell,0237ff1f,-104.00000000,4.00,416.00,517.92,101.92,0.00,824.00000000,3296.00
2021,S006,2021-01-30 10:39:27,Sold 824.00 XRP/ZAR @ 4.98,Sell,0237ff1f,-128.00000000,4.00,512.00,637.44,125.44,0.00,696.00000000,2784.00
2021,S006,2021-01-30 10:39:27,Sold 824.00 XRP/ZAR @ 4.98,Sell,b2bc8fa6,-696.00000000,4.00,2784.00,3466.08,682.08,0.00,0E-8,0.00
2021,B002,2021-02-18 07:05:19,Bought 119.00 XRP/ZAR @ 8.39,Buy,ffd2f4c5,119.00000000,8.39,998.41,0.00,0.00,0.00,119.00000000,998.41
2021,,2021-02-18 07:05:19,Fee for Sold 824.00 XRP/ZAR @ 4.98,Fee,,,,,,,0.99,119.00000000,998.41
2021,B003,2021-02-18 08:24:16,Bought 120.00 XRP/ZAR @ 8.28,Buy,97ea152c,120.00000000,8.28,993.60,0.00,0.00,0.00,239.00000000,1992.01
2021,B004,2021-02-18 09:24:20,Bought 122.00 XRP/ZAR @ 8.19,Buy,b2970fe4,122.00000000,8.19,999.18,0.00,0.00,0.00,361.00000000,2991.19
2021,B005,2021-02-18 11:34:44,Bought 123.00 XRP/ZAR @ 8.09,Buy,29935c61,123.00000000,8.09,995.07,0.00,0.00,0.00,484.00000000,3986.26
2021,B006,2021-02-18 11:40:50,Bought 124.00 XRP/ZAR @ 8.01,Buy,876ae495,124.00000000,8.01,993.24,0.00,0.00,0.00,608.00000000,4979.50
2021,B007,2021-02-18 17:41:16,Bought 114.00 XRP/ZAR @ 7.91,Buy,061ba263,114.00000000,7.91,901.74,0.00,0.00,0.00,722.00000000,5881.24
2021,B008,2021-02-19 02:07:22,Bought 12.00 XRP/ZAR @ 7.91,Buy,0be69527,12.00000000,7.91,94.92,0.00,0.00,0.00,734.00000000,5976.16
2021,B009,2021-02-20 20:12:59,Bought 123.00 XRP/ZAR @ 8.11,Buy,0a6d68d7,123.00000000,8.11,997.53,0.00,0.00,0.00,857.00000000,6973.69
2021,B010,2021-02-20 22:42:02,Bought 128.00 XRP/ZAR @ 7.81,Buy,35e98343,128.00000000,7.81,999.68,0.00,0.00,0.00,985.00000000,7973.37
2021,B011,2021-02-23 05:30:07,Bought 129.00 XRP/ZAR @ 7.75,Buy,ae26b7e7,129.00000000,7.75,999.75,0.00,0.00,0.00,1114.00000000,8973.12
2021,B012,2021-02-23 08:09:04,Bought 130.00 XRP/ZAR @ 7.65,Buy,3a6dc189,130.00000000,7.65,994.50,0.00,0.00,0.00,1244.00000000,9967.62
2021,B013,2021-02-23 08:12:25,Bought 12.00 XRP/ZAR @ 7.55,Buy,1f959b79,12.00000000,7.55,90.60,0.00,0.00,0.00,1256.00000000,10058.22
2021,B014,2021-02-23 08:12:33,Bought 120.00 XRP/ZAR @ 7.55,Buy,bbcc07e2,120.00000000,7.55,906.00,0.00,0.00,0.00,1376.00000000,10964.22
2021,B015,2021-02-23 08:20:22,Bought 134.00 XRP/ZAR @ 7.45,Buy,710d8021,134.00000000,7.45,998.30,0.00,0.00,0.00,1510.00000000,11962.52
2021,B016,2021-02-23 08:28:11,Bought 137.00 XRP/ZAR @ 7.25,Buy,5eaa36d3,137.00000000,7.25,993.25,0.00,0.00,0.00,1647.00000000,12955.77
2021,B017,2021-02-23 08:30:37,Bought 141.00 XRP/ZAR @ 7.05,Buy,3a5d68b1,141.00000000,7.05,994.05,0.00,0.00,0.00,1788.00000000,13949.82
2021,B018,2021-02-23 08:56:00,Bought 144.00 XRP/ZAR @ 6.90,Buy,9e2ffbaf,144.00000000,6.90,993.60,0.00,0.00,0.00,1932.00000000,14943.42
2021,B019,2021-02-23 08:57:55,Bought 147.00 XRP/ZAR @ 6.78,Buy,bc774af1,147.00000000,6.78,996.66,0.00,0.00,0.00,2079.00000000,15940.08
2021,B020,2021-02-23 08:59:15,Bought 150.00 XRP/ZAR @ 6.64,Buy,9fc50866,150.00000000,6.64,996.00,0.00,0.00,0.00,2229.00000000,16936.08
2021,B021,2021-02-23 09:07:48,Bought 153.00 XRP/ZAR @ 6.51,Buy,3ed47fb9,153.00000000,6.51,996.03,0.00,0.00,0.00,2382.00000000,17932.11
2021,B022,2021-02-23 11:45:00,Bought 158.00 XRP/ZAR @ 6.30,Buy,dbbe613a,158.00000000,6.30,995.40,0.00,0.00,0.00,2540.00000000,18927.51
2022,S007,2021-03-08 09:55:26,Sold 165.00 XRP/ZAR @ 7.26,Sell,ffd2f4c5,-119.00000000,8.39,998.41,863.94,-134.47,0.00,2421.00000000,17929.10
2022,S007,2021-03-08 09:55:26,Sold 165.00 XRP/ZAR @ 7.26,Sell,97ea152c,-46.00000000,8.28,380.88,333.96,-46.92,0.00,2375.00000000,17548.22
2022,S008,2021-03-08 10:00:36,Sold 170.00 XRP/ZAR @ 7.48,Sell,97ea152c,-74.00000000,8.28,612.72,553.52,-59.20,0.00,2301.00000000,16935.50
2022,S008,2021-03-08 10:00:36,Sold 170.00 XRP/ZAR @ 7.48,Sell,b2970fe4,-96.00000000,8.19,786.24,718.08,-68.16,0.00,2205.00000000,16149.26
2022,B023,2021-03-19 00:19:26,Bought 600.00 XRP/ZAR @ 7.01,Buy,20797217,600.00000000,7.01,4206.00,0.00,0.00,0.00,2805.00000000,20355.26
2022,S009,2021-03-20 07:32:10,Sold 267.00 XRP/ZAR @ 7.22,Sell,b2970fe4,-26.00000000,8.19,212.94,187.72,-25.22,0.00,2779.00000000,20142.32
2022,S009,2021-03-20 07:32:10,Sold 267.00 XRP/ZAR @ 7.22,Sell,29935c61,-123.00000000,8.09,995.07,888.06,-107.01,0.00,2656.00000000,19147.25
2022,S009,2021-03-20 07:32:10,Sold 267.00 XRP/ZAR @ 7.22,Sell,876ae495,-118.00000000,8.01,945.18,851.96,-93.22,0.00,2538.00000000,18202.07
2022,S010,2021-03-20 07:32:33,Sold 333.00 XRP/ZAR @ 7.22,Sell,876ae495,-6.00000000,8.01,48.06,43.32,-4.74,0.00,2532.00000000,18154.01
