Financial Year,Trans Ref,Date,Description,Type,Lot Reference,Qty Change,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR),Balance Units,Balance Value (ZAR)
2021,B000,2021-02-01 20:44:48,Bought BCH 0.01531969 for ZAR 100.00,Buy,385e07fc,0.01531969,6527.55,100.00,0.00,0.00,0.00,0.01531969,100.00
2022,B001,2021-05-17 05:56:50,Bought 0.20 BCH/BTC @ 0.02406,Buy,4ce655d0,0.20000000,15116.14,3023.23,0.00,0.00,0.00,0.21531969,3123.23
2022,B001,2021-05-17 05:56:50,Fee for ,Fee,,-0.00020000,,,,,3.02,0.21511969,3120.21
2022,B002,2021-05-17 06:26:13,Bought 0.05 BCH/BTC @ 0.024356,Buy,219e7348,0.05000000,16177.76,808.89,0.00,0.00,0.00,0.26511969,3929.10
2022,B002,2021-05-17 06:26:13,Fee for ,Fee,,-0.00005000,,,,,0.80,0.26506969,3928.30
2022,B003,2021-05-17 06:26:13,Bought 0.09 BCH/BTC @ 0.024357,Buy,79b0988e,0.09000000,16177.76,1456.00,0.00,0.00,0.00,0.35506969,5384.29
2022,B003,2021-05-17 06:26:13,Fee for ,Fee,,-0.00009000,,,,,1.45,0.35497969,5382.84
2022,B004,2021-05-17 06:26:14,Bought 0.05 BCH/BTC @ 0.024366,Buy,637c920c,0.05000000,16177.76,808.89,0.00,0.00,0.00,0.40497969,6191.73
2022,B005,2021-05-17 06:26:15,Bought 0.01 BCH/BTC @ 0.024366,Buy,9384809e,0.01000000,16177.76,161.78,0.00,0.00,0.00,0.41497969,6353.51
2022,B006,2021-05-17 15:32:46,Bought 0.20 BCH/BTC @ 0.023961,Buy,303d5014,0.20000000,15655.74,3131.15,0.00,0.00,0.00,0.61497969,9484.66
2022,B007,2021-05-19 04:58:11,Bought 0.49 BCH/BTC @ 0.023858,Buy,11345ce7,0.49000000,13297.66,6515.85,0.00,0.00,0.00,1.10497969,16000.51
2022,B008,2021-05-19 04:58:11,Bought 0.01 BCH/BTC @ 0.023858,Buy,b6e23115,0.01000000,13297.66,132.98,0.00,0.00,0.00,1.11497969,16133.49
2022,B009,2021-05-19 11:30:51,Bought 0.04 BCH/BTC @ 0.0225,Buy,5f22e3be,0.04000000,12430.00,497.20,0.00,0.00,0.00,1.15497969,16630.69
2025,S000,2024-12-04 20:27:22,"Sold 0.055 BCH/ZAR @ 10,152",Sell,385e07fc,-0.01531969,6527.55,100.00,155.53,55.53,0.00,1.13966000,16530.69
2025,S000,2024-12-04 20:27:22,"Sold 0.055 BCH/ZAR @ 10,152",Sell,4ce655d0,-0.05500000,15116.14,831.39,558.36,-273.03,0.00,1.08466000,15699.30
2025,S000,2024-12-04 20:27:22,"Sold 0.055 BCH/ZAR @ 10,152",Sell,4ce655d0,-0.05500000,15116.14,831.39,558.36,-273.03,0.00,1.02966000,14867.91
2025,S000,2024-12-04 20:27:22,"Sold 0.055 BCH/ZAR @ 10,152",Sell,4ce655d0,-0.05500000,15116.14,831.39,558.36,-273.03,0.00,0.97466000,14036.53
