Financial Year,Trans Ref,Date,Description,Type,Lot Reference,Qty Change,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR),Balance Units,Balance Value (ZAR)
2021,B000,2021-01-11 07:39:03,"Bought LTC 0.42996543 for ZAR 1,000.00",Buy,9b9deab5,0.42996543,2325.77,1000.00,0.00,0.00,0.00,0.42996543,1000.00
2021,B001,2021-01-27 11:56:43,"Bought 1.00 LTC/ZAR @ 1,980",Buy,29b3ee66,1.00000000,1980.00,1980.00,0.00,0.00,0.00,1.42996543,2980.00
2021,B002,2021-01-27 14:11:23,"Bought 0.0014 LTC/ZAR @ 1,940",Buy,b0f0997c,0.00140000,1935.71,2.71,0.00,0.00,0.00,1.43136543,2982.71
2021,B003,2021-01-27 14:29:51,"Bought 1.9599 LTC/ZAR @ 1,940",Buy,06167b9c,1.95990000,1940.00,3802.20,0.00,0.00,0.00,3.39126543,6784.91
2021,B004,2021-01-27 14:29:52,"Bought 0.0387 LTC/ZAR @ 1,940",Buy,804cfc67,0.03870000,1939.79,75.07,0.00,0.00,0.00,3.42996543,6859.98
2021,B005,2021-01-27 14:42:28,"Bought 0.9184 LTC/ZAR @ 1,901",Buy,e994910e,0.91840000,1900.99,1745.87,0.00,0.00,0.00,4.34836543,8605.85
2021,B006,2021-01-27 14:42:28,"Bought 0.4083 LTC/ZAR @ 1,901",Buy,ef495257,0.40830000,1900.98,776.17,0.00,0.00,0.00,4.75666543,9382.02
2021,B007,2021-01-27 14:42:29,"Bought 0.6733 LTC/ZAR @ 1,901",Buy,91171bf3,0.67330000,1901.00,1279.94,0.00,0.00,0.00,5.42996543,10661.96
2021,B008,2021-01-27 14:49:41,"Bought 0.4348 LTC/ZAR @ 1,863",Buy,caaaca24,0.43480000,1862.99,810.03,0.00,0.00,0.00,5.86476543,11471.99
2021,B009,2021-01-27 14:49:47,"Bought 1.5652 LTC/ZAR @ 1,863",Buy,eec88bed,1.56520000,1863.00,2915.96,0.00,0.00,0.00,7.42996543,14387.95
2021,S000,2021-01-28 04:05:01,"Sold 0.0918 LTC/ZAR @ 2,017",Sell,9b9deab5,-0.09180000,2325.77,213.51,185.16,-28.35,0.00,7.33816543,14174.44
2021,S001,2021-01-28 04:05:01,"Sold 0.4105 LTC/ZAR @ 2,017",Sell,9b9deab5,-0.33816543,2325.77,786.49,682.07,-104.42,0.00,7.00000000,13387.95
2021,S001,2021-01-28 04:05:01,"Sold 0.4105 LTC/ZAR @ 2,017",Sell,29b3ee66,-0.07233457,1980.00,143.22,145.90,2.67,0.00,6.92766543,13244.73
2021,S002,2021-01-28 04:05:03,"Sold 0.4105 LTC/ZAR @ 2,017",Sell,29b3ee66,-0.41050000,1980.00,812.79,827.97,15.18,0.00,6.51716543,12431.94
2021,S003,2021-01-28 04:05:04,"Sold 0.4105 LTC/ZAR @ 2,017",Sell,29b3ee66,-0.41050000,1980.00,812.79,827.97,15.18,0.00,6.10666543,11619.15
2021,S004,2021-01-28 04:05:05,"Sold 0.3907 LTC/ZAR @ 2,017",Sell,29b3ee66,-0.10666543,1980.00,211.20,215.14,3.95,0.00,6.00000000,11407.95
2021,S004,2021-01-28 04:05:05,"Sold 0.3907 LTC/ZAR @ 2,017",Sell,b0f0997c,-0.00140000,1935.71,2.71,2.82,0.11,0.00,5.99860000,11405.24
2021,S004,2021-01-28 04:05:05,"Sold 0.3907 LTC/ZAR @ 2,017",Sell,06167b9c,-0.28263457,1940.00,548.31,570.07,21.76,0.00,5.71596543,10856.93
2021,S005,2021-01-28 05:16:57,"Sold 2.2713 LTC/ZAR @ 2,017",Sell,06167b9c,-1.67726543,1940.00,3253.89,3383.04,129.15,0.00,4.03870000,7603.04
2021,S005,2021-01-28 05:16:57,"Sold 2.2713 LTC/ZAR @ 2,017",Sell,804cfc67,-0.03870000,1939.79,75.07,78.06,2.99,0.00,4.00000000,7527.97
2021,S005,2021-01-28 05:16:57,"Sold 2.2713 LTC/ZAR @ 2,017",Sell,e994910e,-0.55533457,1900.99,1055.69,1120.11,64.42,0.00,3.44466543,6472.28
2021,S006,2021-01-28 05:16:59,"Sold 0.5503 LTC/ZAR @ 2,017",Sell,e994910e,-0.36306543,1900.99,690.18,732.30,42.12,0.00,3.08160000,5782.10
