Boughts for FY,2022
Date,Currency,Description,Trans Ref,Lot Ref,Qty Bought,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2021-03-05 08:02:52,ETH,"Bought 0.05 ETH/ZAR @ 23,101",B_ETH_047,77a17290,0.05000000,23101.00,1155.05,0.00,0.00,0.00
2021-03-11 10:02:29,LTC,"Bought 0.50 LTC/ZAR @ 2,982",B_LTC_038,63a2caed,0.50000000,2982.00,1491.00,0.00,0.00,0.00
2021-03-12 13:27:42,LTC,"Bought 0.50 LTC/ZAR @ 3,149",B_LTC_039,3c0b9d54,0.50000000,3149.00,1574.50,0.00,0.00,0.00
2021-03-12 22:47:12,ETH,"Bought 0.10 ETH/ZAR @ 27,000",B_ETH_048,fd2c9cfc,0.10000000,27000.00,2700.00,0.00,0.00,0.00
2021-03-13 01:25:17,LTC,"Bought 0.50 LTC/ZAR @ 3,283",B_LTC_040,e2589f0f,0.50000000,3283.00,1641.50,0.00,0.00,0.00
2021-03-15 07:14:34,LTC,"Bought 0.50 LTC/ZAR @ 3,235",B_LTC_041,0764369d,0.50000000,3235.00,1617.50,0.00,0.00,0.00
2021-03-15 07:25:29,XBT,"Bought 0.003 BTC/ZAR @ 884,200",B_XBT_074,5c3d8a02,0.00300000,884200.00,2652.60,0.00,0.00,0.00
2021-03-15 09:24:20,XBT,"Bought 0.004 BTC/ZAR @ 863,000",B_XBT_075,ba89eb40,0.00400000,863000.00,3452.00,0.00,0.00,0.00
2021-03-15 09:41:46,XBT,"Bought 0.005 BTC/ZAR @ 844,000",B_XBT_076,49c46d4a,0.00500000,844000.00,4220.00,0.00,0.00,0.00
2021-03-16 01:14:20,LTC,"Bought 0.50 LTC/ZAR @ 3,005",B_LTC_042,dd6fb425,0.50000000,3005.00,1502.50,0.00,0.00,0.00
2021-03-18 12:11:48,XBT,"Bought 0.005 BTC/ZAR @ 862,000",B_XBT_077,ac9cd27f,0.00500000,862000.00,4310.00,0.00,0.00,0.00
2021-03-18 13:01:33,XBT,"Bought 0.005 BTC/ZAR @ 852,000",B_XBT_078,ba3528ca,0.00500000,852000.00,4260.00,0.00,0.00,0.00
2021-03-18 14:04:29,XBT,"Bought 0.006 BTC/ZAR @ 851,000",B_XBT_079,3e5a4352,0.00600000,851000.00,5106.00,0.00,0.00,0.00
2021-03-18 14:13:28,ETH,"Bought 0.20 ETH/ZAR @ 26,975",B_ETH_049,34ce1468,0.20000000,26975.00,5395.00,0.00,0.00,0.00
2021-03-18 14:13:47,XBT,"Bought 0.005 BTC/ZAR @ 842,000",B_XBT_080,3bee711e,0.00500000,842000.00,4210.00,0.00,0.00,0.00
2021-03-18 19:48:06,ETH,"Bought 0.013952 ETH/ZAR @ 26,705",B_ETH_050,8424a981,0.01395200,26704.42,372.58,0.00,0.00,0.00
2021-03-18 19:48:51,ETH,"Bought 0.086048 ETH/ZAR @ 26,705",B_ETH_051,8020dcc9,0.08604800,26704.98,2297.91,0.00,0.00,0.00
2021-03-18 20:01:38,LTC,"Bought 1.00 LTC/ZAR @ 3,005",B_LTC_043,ba5c9e6b,1.00000000,3005.00,3005.00,0.00,0.00,0.00
