Financial Year,Trans Ref,Date,Description,Type,Lot Reference,Qty Change,Balance Units,Total Cost (ZAR),Balance Value (ZAR),Fee (ZAR),Proceeds (ZAR),Profit (ZAR),Unit Cost (ZAR)
FY2020,df559e87,2021-01-06 14:25:17,Bought ETH 0.051486 for ZAR 930.00,in_buy,in_buy_XXXXXXX,0.051486,0.051486,930,930.000000000000000000729,0,0,0,18063.1628015382822515
FY2020,e56a81c7,2021-01-11 09:35:37,"Bought ETH 0.05757366 for ZAR 1,000.00",in_buy,in_buy_XXXXXXX,0.05757366,0.10905966,1000,1894.263105732725694351371328,0,0,0,17369.0538346875984608
FY2020,72109b3e,2021-01-11 16:09:56,"Bought 0.062893 ETH/ZAR @ 15,900",in_buy,in_buy_XXXXXXX,0.062893,0.17195266,999.99,2734.023507757620084902328092,0,0,0,15899.8616698201707662
FY2020,e5a03aa4,2021-01-11 16:14:37,"Bought 0.064935 ETH/ZAR @ 15,400",in_buy,in_buy_XXXXXXX,0.064935,0.23688766,999.99,3648.037131337491337491370324,0,0,0,15399.8613998613998614
FY2020,04ce126a,2021-01-11 22:29:28,"Bought 0.049296 ETH/ZAR @ 14,200",in_buy,in_buy_XXXXXXX,0.049296,0.28618366,700,4063.789394677052904894141846,0,0,0,14199.9350860110353781
FY2020,c5f4cf5f,2021-01-25 07:33:37,"Sold 0.040109 ETH/ZAR @ 22,202",out_sell,in_buy_a88986166f4f28,-0.040109,0.24607466,0,4444.88664491318028202189699,0,890.5,166.0046031931010371745865,18063.1628015382822515
FY2020,b232b142,2021-01-25 07:33:39,"Sold 0.040108 ETH/ZAR @ 22,202",out_sell,in_buy_a88986166f4f28,-0.011377,0.23469766,0,4239.38204172007924484658149,0,252.589936920315119125,47.0853337272140819496845,18063.1628015382822515
FY2020,b232b142,2021-01-25 07:33:39,"Sold 0.040108 ETH/ZAR @ 22,202",out_sell,in_buy_d6269365d16288,-0.028731,0.20596666,0,3577.446005690796798392116928,0,637.880063079684880875,138.8497773552754894977552,17369.0538346875984608
FY2020,19a69c62,2021-01-25 07:33:41,"Sold 0.040108 ETH/ZAR @ 22,202",out_sell,in_buy_d6269365d16288,-0.02884266,0.177124,0,3076.4762914152061897707392,0,640.359116640071784641,139.389402364481176019622272,17369.0538346875984608
FY2020,19a69c62,2021-01-25 07:33:41,"Sold 0.040108 ETH/ZAR @ 22,202",out_sell,in_buy_26d4a862a3cfa0,-0.01126534,0.16585866,0,2637.129750741735964253105292,0,250.110883359928215359,70.993535696436252819696492,15899.8616698201707662
FY2020,387bc5de,2021-01-25 07:33:42,"Sold 0.014797 ETH/ZAR @ 22,202",out_sell,in_buy_26d4a862a3cfa0,-0.014797,0.15106166,0,2401.859497613406897425643892,0,328.52,93.2497468716709331725386,15899.8616698201707662
FY2020,f6326465,2021-01-25 07:43:35,"Sold 0.151042 ETH/ZAR @ 22,199",out_sell,in_buy_26d4a862a3cfa0,-0.03683066,0.114231,0,1816.2570984052279267937922,0,817.60349020007686827,232.001090991897897638148308,15899.8616698201707662
FY2020,f6326465,2021-01-25 07:43:35,"Sold 0.151042 ETH/ZAR @ 22,199",out_sell,in_buy_129f947c950c92,-0.064935,0.049296,0,759.1515675675675675675744,0,1441.4914811774208465,441.501481177420846499991,15399.8613998613998614
FY2020,f6326465,2021-01-25 07:43:35,"Sold 0.151042 ETH/ZAR @ 22,199",out_sell,in_buy_1374f618d61e15,-0.04927634,0.00001966,0,0.279170723790976955533446,0,1093.88502862250228523,394.164199346293262186715846,14199.9350860110353781
FY2020,c69c7308,2021-01-26 14:55:08,"Bought 0.146914 ETH/ZAR @ 20,420",in_buy,in_buy_XXXXXXX,0.146914,0.14693366,2999.98,3000.381456680779231384734274,0,0,0,20419.9735899914235539
FY2020,1668a76d,2021-01-27 12:57:48,"Bought 0.20 ETH/ZAR @ 20,012",in_buy,in_buy_XXXXXXX,0.2,0.34693366,4002.4,6942.83640392,0,0,0,20012
FY2020,92a9698c,2021-01-27 16:04:15,"Bought 0.22 ETH/ZAR @ 19,611",in_buy,in_buy_XXXXXXX,0.22,0.56693366,4314.42,11118.13600626,0,0,0,19611
FY2020,364b560f,2021-01-28 08:25:43,"Sold 0.476184 ETH/ZAR @ 20,999",out_sell,in_buy_1374f618d61e15,-0.00001966,0.566914,0,8050.1419993508601103401834,0,0.412840017303871736,0.133669293512894780466554,14199.9350860110353781
FY2020,364b560f,2021-01-28 08:25:43,"Sold 0.476184 ETH/ZAR @ 20,999",out_sell,in_buy_24e0f9f739217c,-0.146914,0.42,0,8576.388907796397892638,0,3085.04467457957403921,85.0646745795740392123354,20419.9735899914235539
FY2020,364b560f,2021-01-28 08:25:43,"Sold 0.476184 ETH/ZAR @ 20,999",out_sell,in_buy_5cb7a2202847ac,-0.2,0.22,0,4402.64,0,4199.796717235354835734,197.396717235354835734,20012
FY2020,364b560f,2021-01-28 08:25:43,"Sold 0.476184 ETH/ZAR @ 20,999",out_sell,in_buy_5ba6d05b233687,-0.12925034,0.09074966,0,1779.69158226,0,2714.12576816776725332,179.39735042776725332,19611
FY2020,4c462c26,2021-01-28 08:26:40,"Sold 0.090749 ETH/ZAR @ 20,996",out_sell,in_buy_5ba6d05b233687,-0.090749,0.00000066,0,0.01294326,0,1905.36,125.681361,19611
FY2020,36d8ebc8,2021-01-28 11:05:15,"Bought 0.077322 ETH/ZAR @ 20,150",in_buy,in_buy_XXXXXXX,0.077322,0.07732266,1558.03,1558.043298929153410417129326,0,0,0,20149.8926566824448411
FY2020,7635f641,2021-01-28 11:05:23,"Bought 0.122678 ETH/ZAR @ 20,150",in_buy,in_buy_XXXXXXX,0.122678,0.20000066,2471.96,4030.010527507784606850653234,0,0,0,20149.9861425846525049
FY2020,ae323796,2021-02-01 02:08:47,"Bought 0.20 ETH/ZAR @ 20,100",in_buy,in_buy_XXXXXXX,0.2,0.40000066,4020,8040.013266,0,0,0,20100
FY2020,2c390ce8,2021-02-02 02:15:32,"Sold 0.20 ETH/ZAR @ 21,750",out_sell,in_buy_5ba6d05b233687,-0.00000066,0.4,0,7844.4,0,0.014355,0.00141174,19611
FY2020,2c390ce8,2021-02-02 02:15:32,"Sold 0.20 ETH/ZAR @ 21,750",out_sell,in_buy_1670a71f6b0409,-0.077322,0.322678,0,6501.9270626729779364364658,0,1681.7535,123.7234999999999999964658,20149.8926566824448411
FY2020,2c390ce8,2021-02-02 02:15:32,"Sold 0.20 ETH/ZAR @ 21,750",out_sell,in_buy_9c49c8ed0cd1d5,-0.12267734,0.20000066,0,4030.010527507784606850653234,0,2668.232145,196.285443990854105874531034,20149.9861425846525049
FY2020,c705a780,2021-02-02 11:16:23,"Sold 0.097614 ETH/ZAR @ 22,322",out_sell,in_buy_9c49c8ed0cd1d5,-0.00000066,0.2,0,4029.99722851693050098,0,0.014732454360960921,0.001433463506855050346766,20149.9861425846525049
FY2020,c705a780,2021-02-02 11:16:23,"Sold 0.097614 ETH/ZAR @ 22,322",out_sell,in_buy_d199deb349df68,-0.09761334,0.10238666,0,2057.971866,0,2178.915267545639039079,216.887133545639039079,20100
FY2020,1f18a3b4,2021-02-02 11:16:36,"Sold 0.079502 ETH/ZAR @ 22,322",out_sell,in_buy_d199deb349df68,-0.079502,0.02288466,0,459.981666,0,1774.64,176.6498,20100
