Financial Year,Coin,Lot Reference,Quantity,Date of Original Purchase,Unit Cost (ZAR),Total Cost (ZAR),Pool
FY2021,bch,in_buy_b0b1c182cca8ec,0.00222209,2021-05-19 13:30:51,12430,27.6205787,in_buy
FY2021,bch,Total,0.00222209,,0,27.6205787,
FY2025,eth,in_buy_54f874fc71a698,0.08967193,2025-04-07 20:48:54,31049.901313410009197,2784.30457708301040601274021,in_buy
FY2025,eth,in_buy_7072ca896dccac,0.103229,2025-04-07 20:51:28,31049.9956407598639917,3205.2599999999999999991993,in_buy
FY2025,eth,in_buy_ae69997329b451,0.159021,2025-04-08 18:56:39,29499.9402594625867024,4691.1100000000000000023504,in_buy
FY2025,eth,in_buy_e61db799b4f665,0.040979,2025-04-08 18:56:39,29499.9877986285658508,1208.8799999999999999999332,in_buy
FY2025,eth,in_buy_a3806bd4be4cf5,0.2,2025-04-09 03:27:14,28025,5605,in_buy
FY2025,eth,in_buy_a9bc088bdc8dd9,0.591358,2025-04-10 18:41:42,29699.995603340108699,17563.330000000000000023242,in_buy
FY2025,eth,in_buy_e1ea6a9414219d,0.1,2025-04-10 18:41:42,29700,2970,in_buy
FY2025,eth,in_buy_ca033094699576,0.1,2025-04-10 18:41:42,29700,2970,in_buy
FY2025,eth,in_buy_c1927a4e96c787,0.1,2025-04-10 18:41:43,29700,2970,in_buy
FY2025,eth,in_buy_d6cab1ea162b56,0.1,2025-04-10 18:41:43,29700,2970,in_buy
FY2025,eth,in_buy_7370cf5269173d,0.008642,2025-04-10 18:47:11,29699.1437167322379079,256.6600000000000000000718,in_buy
FY2025,eth,in_buy_e4ea781b8faecf,0.114395,2025-11-17 01:02:59,52099.9169544123431968,5959.969999999999999997936,in_buy
FY2025,eth,in_buy_ce8a511b568ee4,0.035946,2025-11-17 01:03:19,52099.8163912535469871,1872.7799999999999999982966,in_buy
FY2025,eth,in_buy_858b3fb7286a13,0.035946,2025-11-17 01:03:20,52099.8163912535469871,1872.7799999999999999982966,in_buy
FY2025,eth,in_buy_cfc8da36789fff,0.013713,2025-11-17 01:03:20,52099.4676584263108,714.4400000000000000004,in_buy
FY2025,eth,in_buy_59a2304077f2c2,0.031763,2025-11-21 10:14:46,47640.9659037244592765,1513.2199999999999999994695,in_buy
FY2025,eth,in_buy_78c1a007ba4a6e,0.100681,2025-11-21 10:14:47,47640.9650281582423695,4796.5400000000000000036295,in_buy
FY2025,eth,in_buy_1398368da68a31,0.167556,2025-11-21 10:14:48,47640.9677958413903411,7982.5299999999999999933516,in_buy
FY2025,eth,Total,2.09290093,,0,71906.80457708301040602891671,
FY2025,ltc,in_buy_d64d8da13b9332,1.9840883,2025-04-08 02:30:26,1401,2779.7077083,in_buy
FY2025,ltc,in_buy_819119dd79d70d,2,2025-12-01 14:40:33,1330,2660,in_buy
FY2025,ltc,Total,3.9840883,,0,5439.7077083,
FY2024,xrp,in_buy_21e996609df5b4,0.675,2024-07-04 04:00:55,8.51,5.74425,in_buy
FY2024,xrp,Total,0.675,,0,5.74425,
