Financial Year,Coin,Sale Reference,Lot Reference,Quantity Sold,Unit Cost (ZAR),Total Cost (ZAR),Selling Price (ZAR),Proceeds (ZAR),Profit/Loss (ZAR),Fee Reference,Fee Amount (ZAR)
FY2021,ETH,,,0.000036,0,0,0,0,0,45fb9711,0.99
FY2021,XBT,,,0.000006,0,0,0,0,0,bc32c67e,3.38
FY2021,ETH,,,0.0001,0,0,0,0,0,f3d69bf4,2.53
FY2021,XBT,,,0.000001,0,0,0,0,0,fe3929c3,0.76
FY2021,XBT,,,0.000001,0,0,0,0,0,303bc9a5,0.75
FY2021,XBT,,,0.000001,0,0,0,0,0,43026212,0.83
FY2021,XBT,,,0.000005,0,0,0,0,0,ffa6f8e7,3.67
FY2021,XBT,,,0.000009,0,0,0,0,0,e1683fe3,6.56
FY2021,XBT,,,0.00001,0,0,0,0,0,d8253356,7.28
FY2021,XBT,,,0.000002,0,0,0,0,0,b6da1a03,1.43
FY2021,XBT,,,0.000001,0,0,0,0,0,1e9f75db,0.71
FY2021,XBT,,,0.000006,0,0,0,0,0,febf2e49,4.31
FY2021,XBT,,,0.00001,0,0,0,0,0,d0d10841,7.21
FY2021,ETH,,,0.0001,0,0,0,0,0,56585114,2.54
FY2021,ETH,,,0.000082,0,0,0,0,0,ca328fde,1.97
FY2021,LTC,,,0.000179,0,0,0,0,0,a340c47b,0.58
FY2021,LTC,,,0.000125,0,0,0,0,0,c3a32c35,0.4
FY2021,LTC,,,0.000344,0,0,0,0,0,f638614c,0.97
FY2021,XBT,,,0.000009,0,0,0,0,0,251d245c,4.92
FY2021,XBT,,,0.000009,0,0,0,0,0,48aff812,4.94
FY2021,XBT,,,0.000004,0,0,0,0,0,d33303b9,2.17
FY2021,XBT,,,0.000001,0,0,0,0,0,9fde97ed,0.68
FY2021,XRP,,,0.119,0,0,0,0,0,ffd2f4c5,0.99
FY2021,LTC,00b2fbda,in_buy_d3aa8a1ec4d2ea,0.10666543,1980,211.1975514,2016.9951369337087279,215.143653588942922956206497,3.946102188942922956206497,,0
FY2021,LTC,00b2fbda,in_buy_615156eee3c6dd,0.0014,1935.7142857142857143,2.71000000000000000002,2016.9951369337087279,2.82379319170719221906,0.11379319170719221904,,0
FY2021,LTC,00b2fbda,in_buy_1fbb706d5ae891,0.28263457,1939.9969386193173121,548.310200547987142198939297,2016.9951369337087279,570.072553219349884815263503,21.762352671362742616324206,,0
FY2021,XBT,062d7069,in_buy_cdca06160220e9,0.0061,488565,2980.2465,559000,3409.9,429.6535,,0
FY2021,XBT,095777cb,in_buy_86067ed12c701f,0.000789,550000,433.95,538998.7325728770595691,425.2700000000000000000199,-8.6799999999999999999801,,0
FY2021,XBT,17fc4763,in_buy_7733fce1be9f61,0.000201,736394,148.015194,720995.0248756218905473,144.9200000000000000000073,-3.0951939999999999999927,,0
FY2021,XBT,18611244,in_buy_4ca0005538800c,0.00101346,483676.9230769230769231,490.187214461538461538484926,576998.3073161557269137,584.764704532631182997958402,94.577490071092721459473476,,0
FY2021,XBT,18611244,in_buy_9eef08cf74564f,0.00430354,483678.8381742738589212,2081.531227236514522821741048,576998.3073161557269137,2483.135295467368817002184498,401.60406823085429418044345,,0
FY2021,ETH,19a69c62,in_buy_d6269365d16288,0.02884266,17369.0538346875984608,500.969714275590608621377728,22201.8051261593697018,640.359116640071806123318788,139.38940236448119750194106,,0
FY2021,ETH,19a69c62,in_buy_26d4a862a3cfa0,0.01126534,15899.8616698201707662,179.117347663491962539303508,22201.8051261593697018,250.110883359928193876475612,70.993535696436231337172104,,0
FY2021,XBT,1e9f75db,in_buy_3059768b7ba5ee,0.0015,720102,1080.153,718013.3333333333333333,1077.01999999999999999995,-3.13300000000000000005,,0
FY2021,ETH,1f18a3b4,in_buy_d199deb349df68,0.079502,20100,1597.9902,22321.9541646751025131,1774.6399999999999999964762,176.6497999999999999964762,,0
FY2021,LTC,1f82276e,in_buy_00bce0d59abca2,0.22106543,1900.9796718099436689,420.240888569924075441156127,2016.9907323278211884,445.886923548064691976757012,25.646034978140616535600885,,0
FY2021,LTC,1f82276e,in_buy_ddf5a889ddbfb5,0.32923457,1900.9950987672657062,625.873303914748254856503334,2016.9907323278211884,664.063076451935307999762988,38.189772537187053143259654,,0
FY2021,XBT,23820644,in_buy_f318fa082e39cf,0.002032,550538.5184274417759639,1118.6942694445616887586448,615000,1249.68,130.9857305554383112413552,,0
FY2021,LTC,24acc8ca,in_buy_14ade2b71bf176,2.99973457,1956,5867.48081892,2184.9981579270539113,6554.414509720103155980323641,686.933690800103155980323641,,0
FY2021,LTC,24acc8ca,in_buy_4c2aa08be0b461,1.07176543,1997.9988277652181194,2141.386072779284936782532342,2184.9981579270539113,2341.805490279896843877626359,200.419417500611907095094017,,0
FY2021,XRP,24d43a7d,in_buy_4a14c02dce53f4,128,4,512,4.98,637.44,125.44,,0
FY2021,XRP,24d43a7d,in_buy_64e697036541a4,696,4,2784,4.98,3466.08,682.08,,0
FY2021,XBT,251d245c,in_buy_2c1383019bb5cd,0.00281346,525100,1477.347846,546999.2993694324892403,1538.960648803923531178014438,61.612802803923531178014438,,0
FY2021,XBT,251d245c,in_buy_7634e76c273ae4,0.00217754,532000,1158.45128,546999.2993694324892403,1191.112854348914022620322862,32.661574348914022620322862,,0
FY2021,XBT,251d245c,in_buy_66585d5b8472d1,0.005,528000,2640,546999.2993694324892403,2734.9964968471624462015,94.9964968471624462015,,0
FY2021,ETH,2c390ce8,in_buy_5ba6d05b233687,0.00000066,19611,0.01294326,21750,0.014355,0.00141174,,0
FY2021,ETH,2c390ce8,in_buy_9c49c8ed0cd1d5,0.12267734,20149.9861425846525049,2471.946701009145894125468966,21750,2668.232145,196.285443990854105874531034,,0
FY2021,ETH,2c390ce8,in_buy_1670a71f6b0409,0.077322,20149.8926566824448411,1558.0300000000000000035342,21750,1681.7535,123.7234999999999999964658,,0
FY2021,LTC,2f1d9961,in_buy_04b07a31e0e6e8,0.22856543,1862.9944802207911684,425.816134459291628345548412,2016.9966270714180965,461.015701375128317936303995,35.199566915836689590755583,,0
FY2021,LTC,2f1d9961,in_buy_3d137db6061ad6,1.13523457,1862.9951443904932277,2114.936491654229491435921589,2016.9966270714180965,2289.764298624871682070396005,174.827806970642190634474416,,0
FY2021,XBT,3462708e,in_buy_1ae1292523cba0,0.001923,520000,999.96,497900,957.4617,-42.4983,,0
FY2021,XBT,3462708e,in_buy_5cc3e9374b6566,0.008316,480999.2784992784992785,3999.990000000000000000006,497900,4140.5364,140.546399999999999999994,,0
FY2021,XBT,3462708e,in_buy_211345d4a1401c,0.01368546,480999.5178067093752153,6582.699660963008886133979538,497900,6813.990534,231.290873036991113866020462,,0
FY2021,XBT,3462708e,in_buy_41b785d7f19e3c,0.008146,490999.2634421802111466,3999.6800000000000000002036,497900,4055.8934,56.2133999999999999997964,,0
FY2021,XBT,3462708e,in_buy_c570be5cb18bd0,0.00998,501000,4999.98,497900,4969.042,-30.938,,0
FY2021,XBT,3462708e,in_buy_98f8997659b49d,0.006,500000,3000,497900,2987.4,-12.6,,0
