Financial Year,Trans Ref,Date,Description,Type,Lot Reference,Qty Change,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Balance Units,Balance Value (ZAR)
2021,B000,2021-01-06 12:25:17,Bought ETH 0.051486 for ZAR 930.00,Buy,df559e87,0.05148600,18063.16,930.00,0.00,0.00,0.05148600,930.00
2021,B001,2021-01-11 07:35:37,"Bought ETH 0.05757366 for ZAR 1,000.00",Buy,e56a81c7,0.05757366,17369.05,1000.00,0.00,0.00,0.10905966,1930.00
2021,B002,2021-01-11 14:09:56,"Bought 0.062893 ETH/ZAR @ 15,900",Buy,72109b3e,0.06289300,15899.86,999.99,0.00,0.00,0.17195266,2929.99
2021,B003,2021-01-11 14:14:37,"Bought 0.064935 ETH/ZAR @ 15,400",Buy,e5a03aa4,0.06493500,15399.86,999.99,0.00,0.00,0.23688766,3929.98
2021,B004,2021-01-11 20:29:28,"Bought 0.049296 ETH/ZAR @ 14,200",Buy,04ce126a,0.04929600,14199.94,700.00,0.00,0.00,0.28618366,4629.98
2021,S000,2021-01-25 05:33:37,"Sold 0.040109 ETH/ZAR @ 22,202",Sell,df559e87,-0.04010900,18063.16,724.50,890.50,166.00,0.24607466,3905.48
2021,S001,2021-01-25 05:33:39,"Sold 0.040108 ETH/ZAR @ 22,202",Sell,df559e87,-0.01137700,18063.16,205.50,252.59,47.09,0.23469766,3699.98
2021,S001,2021-01-25 05:33:39,"Sold 0.040108 ETH/ZAR @ 22,202",Sell,e56a81c7,-0.02873100,17369.05,499.03,637.88,138.85,0.20596666,3200.95
2021,S002,2021-01-25 05:33:41,"Sold 0.040108 ETH/ZAR @ 22,202",Sell,e56a81c7,-0.02884266,17369.05,500.97,640.36,139.39,0.17712400,2699.98
2021,S002,2021-01-25 05:33:41,"Sold 0.040108 ETH/ZAR @ 22,202",Sell,72109b3e,-0.01126534,15899.86,179.12,250.11,70.99,0.16585866,2520.86
2021,S003,2021-01-25 05:33:42,"Sold 0.014797 ETH/ZAR @ 22,202",Sell,72109b3e,-0.01479700,15899.86,235.27,328.52,93.25,0.15106166,2285.59
2021,S004,2021-01-25 05:43:35,"Sold 0.151042 ETH/ZAR @ 22,199",Sell,72109b3e,-0.03683066,15899.86,585.60,817.60,232.00,0.11423100,1699.99
2021,S004,2021-01-25 05:43:35,"Sold 0.151042 ETH/ZAR @ 22,199",Sell,e5a03aa4,-0.06493500,15399.86,999.99,1441.49,441.50,0.04929600,700.00
