Sales for FY,2022
Date,Currency,Trans Ref,Lot Ref,Qty Sold,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR)
2021-03-03 10:26:26,XBT,S076,240cd3d5,-0.00145900,722000.00,1053.40,1150.96,97.56
2021-03-03 10:26:26,XBT,S077,240cd3d5,-0.00000100,722000.00,0.72,0.78,0.06
2021-03-03 11:20:34,XBT,S078,240cd3d5,-0.00150000,722000.00,1083.00,1192.50,109.50
2021-03-03 12:39:21,ETH,S079,cf7b915f,-0.02087366,25449.95,531.23,518.50,-12.73
2021-03-03 12:39:21,ETH,S079,9a99282c,-0.02912634,25449.91,741.26,723.50,-17.76
2021-03-06 18:03:41,ETH,S080,9a99282c,-0.01797166,25449.91,457.38,452.89,-4.49
2021-03-06 18:03:41,ETH,S080,286f6d1a,-0.03191100,25449.84,812.13,804.16,-7.97
2021-03-06 18:03:41,ETH,S080,068b3f2a,-0.00011734,25501.00,2.99,2.96,-0.04
2021-03-06 18:18:33,ETH,S081,068b3f2a,-0.05000000,25501.00,1275.05,1262.55,-12.50
2021-03-06 18:18:33,ETH,S082,068b3f2a,-0.00005000,25501.00,1.28,1.26,-0.02
2021-03-06 18:19:50,ETH,S083,068b3f2a,-0.04983266,25501.00,1270.78,1259.87,-10.91
2021-03-06 18:19:50,ETH,S083,28bedb6b,-0.00016734,25425.00,4.25,4.23,-0.02
2021-03-06 18:19:50,ETH,S084,28bedb6b,-0.00005000,25425.00,1.27,1.26,-0.01
2021-03-06 20:59:51,ETH,S085,28bedb6b,-0.05000000,25425.00,1271.25,1298.35,27.10
2021-03-06 21:02:25,ETH,S086,28bedb6b,-0.04750000,25425.00,1207.69,1237.61,29.92
2021-03-06 21:02:25,ETH,S087,28bedb6b,-0.00228266,25425.00,58.04,59.48,1.44
2021-03-06 21:02:25,ETH,S087,41dc1e26,-0.00021734,24950.00,5.42,5.66,0.24
2021-03-06 21:02:25,ETH,S088,41dc1e26,-0.00004700,24950.00,1.17,1.22,0.05
2021-03-06 21:02:25,ETH,S089,41dc1e26,-0.00000200,24950.00,0.05,0.05,0.00
2021-03-06 21:18:28,ETH,S090,41dc1e26,-0.09973366,24950.00,2488.35,2564.35,76.00
2021-03-06 21:18:28,ETH,S090,caa4c0f5,-0.00026634,24601.00,6.55,6.85,0.30
2021-03-06 21:18:28,ETH,S091,caa4c0f5,-0.00010000,24601.00,2.46,2.56,0.10
2021-03-06 22:31:17,ETH,S092,caa4c0f5,-0.09963366,24601.00,2451.09,2596.45,145.37
2021-03-06 22:31:17,ETH,S092,dfbf52e2,-0.00036634,25715.00,9.42,9.55,0.13
2021-03-07 00:21:47,ETH,S093,dfbf52e2,-0.05000000,25715.00,1285.75,1315.00,29.25
2021-03-07 23:40:50,ETH,S094,dfbf52e2,-0.04963366,25715.00,1276.33,1315.29,38.96
2021-03-07 23:40:50,ETH,S094,6d2fba2f,-0.00036634,29239.74,10.71,9.71,-1.00
2021-03-08 05:08:47,ETH,S095,6d2fba2f,-0.03229366,29239.74,944.26,862.24,-82.02
2021-03-08 05:08:47,ETH,S095,13766b4a,-0.01770634,28949.97,512.60,472.76,-39.84
2021-03-08 05:53:17,ETH,S096,13766b4a,-0.01630400,28949.97,472.00,439.39,-32.61
2021-03-08 05:53:22,ETH,S097,13766b4a,-0.00053166,28949.97,15.39,14.33,-1.06
2021-03-08 05:53:22,ETH,S097,6bec0869,-0.02125734,28659.83,609.23,572.88,-36.35
2021-03-08 05:54:04,ETH,S098,6bec0869,-0.01190700,28659.83,341.25,320.89,-20.36
2021-03-08 09:55:26,XRP,S099,ffd2f4c5,-118.88100000,8.39,997.41,863.08,-134.34
2021-03-08 09:55:26,XRP,S099,97ea152c,-46.11900000,8.28,381.87,334.82,-47.04
2021-03-08 10:00:36,XRP,S100,97ea152c,-73.88100000,8.28,611.73,552.63,-59.10
2021-03-08 10:00:36,XRP,S100,b2970fe4,-96.11900000,8.19,787.21,718.97,-68.24
2021-03-08 11:58:11,XBT,S101,240cd3d5,-0.00200000,722000.00,1444.00,1584.00,140.00
2021-03-08 15:19:36,ETH,S102,6bec0869,-0.00172666,28659.83,49.49,46.97,-2.52
2021-03-08 15:19:36,ETH,S102,45fb9711,-0.03603400,27750.74,999.97,980.12,-19.85
2021-03-08 15:19:36,ETH,S102,01bdd2de,-0.01223934,27399.99,335.36,332.91,-2.45
2021-03-08 20:44:30,XBT,S103,240cd3d5,-0.00385354,722000.00,2782.26,3132.93,350.67
2021-03-08 20:44:30,XBT,S103,e299e6f8,-0.00500000,701000.00,3505.00,4065.00,560.00
2021-03-08 20:44:30,XBT,S103,73324cd4,-0.00500000,691000.00,3455.00,4065.00,610.00
2021-03-08 20:44:30,XBT,S103,bede0364,-0.00114646,685100.00,785.44,932.07,146.63
2021-03-08 21:10:57,XBT,S104,bede0364,-0.00150000,685100.00,1027.65,1219.02,191.37
2021-03-08 21:10:57,XBT,S105,bede0364,-0.00000100,685100.00,0.69,0.81,0.12
2021-03-09 01:29:38,XBT,S106,bede0364,-0.00150000,685100.00,1027.65,1243.50,215.85
2021-03-09 05:53:20,XBT,S107,bede0364,-0.00085254,685100.00,584.08,723.42,139.35
2021-03-09 05:53:20,XBT,S107,e96a293e,-0.00214746,678100.00,1456.19,1822.23,366.03
2021-03-09 05:53:20,XBT,S108,e96a293e,-0.00000300,678100.00,2.03,2.54,0.51
2021-03-09 05:55:53,ETH,S109,01bdd2de,-0.02425666,27399.99,664.63,698.59,33.96
2021-03-09 05:55:53,ETH,S109,ad45188b,-0.03724100,26851.86,999.99,1072.54,72.55
2021-03-09 05:55:53,ETH,S109,08aee054,-0.03800100,26314.83,999.99,1094.43,94.44
2021-03-09 05:55:53,ETH,S109,7179c336,-0.00437334,26029.88,113.84,125.95,12.11
2021-03-09 05:55:53,ETH,S110,7179c336,-0.00010300,26029.88,2.68,2.96,0.28
2021-03-10 12:34:13,XBT,S111,e96a293e,-0.00284954,678100.00,1932.27,2464.85,532.58
2021-03-10 12:34:13,XBT,S111,cd7ece9f,-0.00015046,671000.00,100.96,130.15,29.19
2021-03-11 21:09:05,XBT,S112,cd7ece9f,-0.00200000,671000.00,1342.00,1760.17,418.17
2021-03-11 21:09:05,XBT,S113,cd7ece9f,-0.00000200,671000.00,1.34,1.76,0.42
2021-03-11 21:16:25,XBT,S114,cd7ece9f,-0.00284754,671000.00,1910.70,2504.88,594.18
2021-03-11 21:16:25,XBT,S114,1e2d9f87,-0.00015246,840520.00,128.15,134.11,5.97
2021-03-11 21:16:25,XBT,S115,1e2d9f87,-0.00000300,840520.00,2.52,2.63,0.11
2021-03-11 23:06:19,XBT,S116,1e2d9f87,-0.00034454,840520.00,289.59,303.88,14.29
2021-03-11 23:06:19,XBT,S116,c18ce7d3,-0.00050000,840520.00,420.26,441.00,20.74
2021-03-11 23:06:19,XBT,S116,1bfd6532,-0.00018900,840529.10,158.86,166.70,7.84
2021-03-11 23:06:19,XBT,S116,d67b6f91,-0.00117600,849906.46,999.49,1037.23,37.74
2021-03-11 23:06:19,XBT,S116,7026b4da,-0.00079046,836794.98,661.45,697.19,35.73
2021-03-13 10:17:48,XBT,S117,7026b4da,-0.00040454,836794.98,338.52,363.68,25.16
2021-03-13 10:17:48,XBT,S117,c8b5680f,-0.00120600,828996.68,999.77,1084.19,84.42
2021-03-13 10:17:48,XBT,S117,450b4d6b,-0.00121800,820993.43,999.97,1094.98,95.01
2021-03-13 10:17:48,XBT,S117,c4865965,-0.00017146,800997.60,137.34,154.14,16.80
2021-03-13 20:57:42,XBT,S118,c4865965,-0.00232454,800997.60,1861.95,2142.06,280.10
2021-03-13 20:57:42,XBT,S118,18bfe851,-0.00067546,791996.83,534.96,622.43,87.47
2021-03-13 20:57:42,XBT,S119,18bfe851,-0.00000300,791996.83,2.38,2.76,0.38
2021-03-17 20:23:44,XBT,S120,18bfe851,-0.00058354,791996.83,462.16,513.03,50.87
2021-03-17 20:23:44,XBT,S120,303bc9a5,-0.00132400,755128.40,999.79,1164.03,164.24
2021-03-17 20:23:44,XBT,S120,fe3929c3,-0.00130500,766000.00,999.63,1147.32,147.69
2021-03-17 20:23:44,XBT,S120,54a9cccb,-0.00133100,750999.25,999.58,1170.18,170.60
2021-03-17 20:23:44,XBT,S120,00af6cd7,-0.00045646,742996.28,339.15,401.31,62.16
2021-03-17 20:23:44,XBT,S121,00af6cd7,-0.00000500,742996.28,3.71,4.39,0.68
2021-03-17 22:15:23,XBT,S122,00af6cd7,-0.00088354,742996.28,656.47,785.47,129.00
2021-03-17 22:15:23,XBT,S122,f5d6f54f,-0.00135300,738994.83,999.86,1202.82,202.96
2021-03-17 22:15:23,XBT,S122,738903f5,-0.00135500,737992.62,999.98,1204.60,204.62
2021-03-17 22:15:23,XBT,S122,481c1786,-0.00138500,722000.00,999.97,1231.27,231.30
2021-03-17 22:15:23,XBT,S122,c0f9beaa,-0.00002346,706994.34,16.59,20.86,4.27
2021-03-18 02:31:12,ETH,S123,7179c336,-0.03394066,26029.88,883.47,943.89,60.42
2021-03-18 02:31:12,ETH,S123,1fcb23ee,-0.06605934,24005.00,1585.75,1837.11,251.36
2021-03-18 13:23:06,XBT,S124,c0f9beaa,-0.00139054,706994.34,983.10,1219.50,236.40
2021-03-18 13:23:06,XBT,S124,f91c0fb9,-0.00143800,695000.00,999.41,1261.13,261.72
2021-03-18 13:23:06,XBT,S124,cf9d56b4,-0.00145500,686996.56,999.58,1276.04,276.46
2021-03-18 13:23:06,XBT,S124,63c804f8,-0.00071646,680994.55,487.91,628.34,140.43
2021-03-18 15:42:55,XBT,S125,63c804f8,-0.00031500,680994.55,214.51,279.40,64.89
2021-03-18 15:43:40,XBT,S126,63c804f8,-0.00043654,680994.55,297.28,387.21,89.93
2021-03-18 15:43:40,XBT,S126,9fde97ed,-0.00146000,684479.45,999.34,1295.02,295.68
2021-03-18 15:43:40,XBT,S126,5c3d8a02,-0.00278846,884200.00,2465.56,2473.36,7.80
2021-03-18 17:40:35,XBT,S127,5c3d8a02,-0.00021154,884200.00,187.04,187.54,0.49
2021-03-18 17:40:35,XBT,S127,ba89eb40,-0.00400000,863000.00,3452.00,3546.12,94.12
2021-03-18 17:40:35,XBT,S127,49c46d4a,-0.00128846,844000.00,1087.46,1142.26,54.80
2021-03-18 17:40:35,XBT,S128,49c46d4a,-0.00050000,844000.00,422.00,443.35,21.35
2021-03-18 17:40:35,XBT,S129,49c46d4a,-0.00000500,844000.00,4.22,4.43,0.21
2021-03-19 06:00:29,XBT,S130,49c46d4a,-0.00320654,844000.00,2706.32,2837.79,131.47
2021-03-19 06:00:29,XBT,S130,ac9cd27f,-0.00379346,862000.00,3269.96,3357.21,87.25
2021-03-19 11:50:38,XBT,S131,ac9cd27f,-0.00120654,862000.00,1040.04,1061.16,21.13
2021-03-19 11:50:38,XBT,S131,ba3528ca,-0.00211346,852000.00,1800.67,1858.81,58.14
2021-03-19 11:50:38,XBT,S132,ba3528ca,-0.00168000,852000.00,1431.36,1477.57,46.21
2021-03-19 11:50:38,XBT,S133,ba3528ca,-0.00000300,852000.00,2.56,2.63,0.07
2021-03-19 11:50:38,XBT,S134,ba3528ca,-0.00000100,852000.00,0.85,0.87,0.02
2021-03-19 12:04:55,XBT,S135,ba3528ca,-0.00120254,852000.00,1024.56,1063.05,38.48
2021-03-19 12:04:55,XBT,S135,3e5a4352,-0.00579746,851000.00,4933.64,5124.95,191.32
2021-03-20 04:07:48,ETH,S136,1fcb23ee,-0.03394066,24005.00,814.75,933.57,118.83
2021-03-20 04:07:48,ETH,S136,99361d0a,-0.10000000,23600.00,2360.00,2750.60,390.60
