Financial Year,Trans Ref,Date,Description,Type,Lot Reference,Qty Change,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Balance Units,Balance Value (ZAR)
2021,BAA,2021-01-06 10:57:12,"Bought BTC 0.00183333 for ZAR 1,000.00",Buy,c1d43d7a,0.00183333,545455.54,1000.00,0.00,0.00,0.00183333,1000.00
2021,BAB,2021-01-06 12:19:35,"Bought BTC 0.00544921 for ZAR 3,000.00",Buy,f789f9f9,0.00544921,550538.52,3000.00,0.00,0.00,0.00728254,4000.00
2021,BAC,2021-01-11 16:02:24,"Bought 0.002 BTC/ZAR @ 500,000",Buy,e97af95a,0.00200000,500000.00,1000.00,0.00,0.00,0.00928254,5000.00
2021,BAD,2021-01-11 19:18:58,"Bought 0.000625 BTC/ZAR @ 480,000",Buy,4a781f35,0.00062500,480000.00,300.00,0.00,0.00,0.00990754,5300.00
2021,BAE,2021-01-11 20:17:25,"Bought 0.000638 BTC/ZAR @ 470,000",Buy,be33830c,0.00063800,470000.00,299.86,0.00,0.00,0.01054554,5599.86
2021,BAF,2021-01-11 20:20:22,"Bought 0.00086 BTC/ZAR @ 465,000",Buy,8d095a36,0.00086000,465000.00,399.90,0.00,0.00,0.01140554,5999.76
2021,SAA,2021-01-14 07:11:16,"Sold 0.0025 BTC/ZAR @ 600,000",Sell,c1d43d7a,-0.00183333,545455.54,1000.00,1100.00,100.00,0.00957221,4999.76
2021,SAA,2021-01-14 07:11:16,"Sold 0.0025 BTC/ZAR @ 600,000",Sell,f789f9f9,-0.00066667,550538.52,367.03,400.00,32.97,0.00890554,4632.73
2021,SAB,2021-01-14 14:17:50,"Sold 0.002032 BTC/ZAR @ 615,000",Sell,f789f9f9,-0.00203200,550538.52,1118.69,1249.68,130.99,0.00687354,3514.04
2021,BAG,2021-01-15 16:04:12,"Bought 0.004545 BTC/ZAR @ 550,000",Buy,7e55cacd,0.00454500,550000.00,2499.75,0.00,0.00,0.01141854,6013.79
2021,BAH,2021-01-20 04:00:18,"Bought 0.00909 BTC/ZAR @ 550,000",Buy,d1e5e1e2,0.00909000,550000.00,4999.50,0.00,0.00,0.02050854,11013.29
2021,BAI,2021-01-20 09:39:46,"Bought 0.003703 BTC/ZAR @ 540,000",Buy,3dc5dc9d,0.00370300,540000.00,1999.62,0.00,0.00,0.02421154,13012.91
2021,BAJ,2021-01-20 10:06:19,"Bought 0.002803 BTC/ZAR @ 535,000",Buy,08555a01,0.00280300,534998.22,1499.60,0.00,0.00,0.02701454,14512.51
2021,BAK,2021-01-20 10:07:44,"Bought 0.004716 BTC/ZAR @ 530,000",Buy,d36ee76a,0.00471600,530000.00,2499.48,0.00,0.00,0.03173054,17011.99
2021,BAL,2021-01-21 08:39:28,"Bought 0.004761 BTC/ZAR @ 525,000",Buy,a97d1ceb,0.00476100,524998.95,2499.52,0.00,0.00,0.03649154,19511.51
2021,BAM,2021-01-21 08:58:22,"Bought 0.001923 BTC/ZAR @ 520,000",Buy,a2d39898,0.00192300,520000.00,999.96,0.00,0.00,0.03841454,20511.47
2021,BAN,2021-01-21 09:00:12,"Bought 0.001942 BTC/ZAR @ 515,000",Buy,8b0684da,0.00194200,515000.00,1000.13,0.00,0.00,0.04035654,21511.60
2021,BAO,2021-01-21 09:13:10,"Bought 0.002941 BTC/ZAR @ 510,000",Buy,9549ea93,0.00294100,510000.00,1499.91,0.00,0.00,0.04329754,23011.51
2021,BAP,2021-01-21 09:36:07,"Bought 0.003 BTC/ZAR @ 500,000",Buy,cf73717d,0.00300000,500000.00,1500.00,0.00,0.00,0.04629754,24511.51
2021,BAQ,2021-01-21 09:36:08,"Bought 0.006 BTC/ZAR @ 500,000",Buy,701b13e6,0.00600000,500000.00,3000.00,0.00,0.00,0.05229754,27511.51
2021,BAR,2021-01-21 11:29:56,"Bought 0.00998 BTC/ZAR @ 501,000",Buy,8e1350f3,0.00998000,501000.00,4999.98,0.00,0.00,0.06227754,32511.49
2021,BAS,2021-01-21 12:06:58,"Bought 0.008146 BTC/ZAR @ 491,000",Buy,91806478,0.00814600,490999.26,3999.68,0.00,0.00,0.07042354,36511.17
2021,BAT,2021-01-21 12:15:11,"Bought 0.008316 BTC/ZAR @ 481,000",Buy,579c2157,0.00831600,480999.28,3999.99,0.00,0.00,0.07873954,40511.16
2021,BAU,2021-01-21 22:01:28,"Bought 0.014517 BTC/ZAR @ 481,000",Buy,cbfadebe,0.01451700,480999.52,6982.67,0.00,0.00,0.09325654,47493.83
2021,BAV,2021-01-21 22:27:27,"Bought 0.008492 BTC/ZAR @ 471,000",Buy,96b1c5a2,0.00849200,470999.76,3999.73,0.00,0.00,0.10174854,51493.56
2021,BAW,2021-01-22 00:27:15,"Bought 0.008676 BTC/ZAR @ 461,000",Buy,dd1f1f27,0.00867600,460999.31,3999.63,0.00,0.00,0.11042454,55493.19
2021,BAX,2021-01-22 01:17:55,"Bought 0.008869 BTC/ZAR @ 451,000",Buy,030647e5,0.00886900,450998.99,3999.91,0.00,0.00,0.11929354,59493.10
2021,SAC,2021-01-25 04:01:52,"Sold 0.008571 BTC/ZAR @ 525,000",Sell,f789f9f9,-0.00275054,550538.52,1514.28,1444.03,-70.25,0.11654300,57978.82
2021,SAC,2021-01-25 04:01:52,"Sold 0.008571 BTC/ZAR @ 525,000",Sell,e97af95a,-0.00200000,500000.00,1000.00,1050.00,50.00,0.11454300,56978.82
2021,SAC,2021-01-25 04:01:52,"Sold 0.008571 BTC/ZAR @ 525,000",Sell,4a781f35,-0.00062500,480000.00,300.00,328.12,28.12,0.11391800,56678.82
2021,SAC,2021-01-25 04:01:52,"Sold 0.008571 BTC/ZAR @ 525,000",Sell,be33830c,-0.00063800,470000.00,299.86,334.95,35.09,0.11328000,56378.96
2021,SAC,2021-01-25 04:01:52,"Sold 0.008571 BTC/ZAR @ 525,000",Sell,8d095a36,-0.00086000,465000.00,399.90,451.50,51.60,0.11242000,55979.06
2021,SAC,2021-01-25 04:01:52,"Sold 0.008571 BTC/ZAR @ 525,000",Sell,7e55cacd,-0.00169746,550000.00,933.60,891.17,-42.44,0.11072254,55045.46
2021,SAD,2021-01-25 12:44:08,"Sold 0.008506 BTC/ZAR @ 529,000",Sell,7e55cacd,-0.00284754,550000.00,1566.15,1506.35,-59.80,0.10787500,53479.31
2021,SAD,2021-01-25 12:44:08,"Sold 0.008506 BTC/ZAR @ 529,000",Sell,d1e5e1e2,-0.00565846,550000.00,3112.15,2993.32,-118.83,0.10221654,50367.16
2021,SAE,2021-01-25 12:48:33,"Sold 0.000789 BTC/ZAR @ 539,000",Sell,d1e5e1e2,-0.00078900,550000.00,433.95,425.27,-8.68,0.10142754,49933.21
2021,SAF,2021-01-25 12:48:35,"Sold 0.007559 BTC/ZAR @ 539,000",Sell,d1e5e1e2,-0.00264254,550000.00,1453.40,1424.33,-29.07,0.09878500,48479.81
2021,SAF,2021-01-25 12:48:35,"Sold 0.007559 BTC/ZAR @ 539,000",Sell,3dc5dc9d,-0.00370300,540000.00,1999.62,1995.92,-3.70,0.09508200,46480.19
2021,SAF,2021-01-25 12:48:35,"Sold 0.007559 BTC/ZAR @ 539,000",Sell,08555a01,-0.00121346,534998.22,649.20,654.05,4.86,0.09386854,45830.99
2021,BAY,2021-01-26 12:51:16,"Bought 0.00998 BTC/ZAR @ 501,000",Buy,a924a2f1,0.00998000,501000.00,4999.98,0.00,0.00,0.10384854,50830.97
2021,BAZ,2021-01-27 08:50:54,"Bought 0.001989 BTC/ZAR @ 493,500",Buy,7d9c3c56,0.00198900,493499.25,981.57,0.00,0.00,0.10583754,51812.54
2021,BBA,2021-01-27 08:51:05,"Bought 0.010011 BTC/ZAR @ 493,500",Buy,e410a5ed,0.01001100,493499.15,4940.42,0.00,0.00,0.11584854,56752.96
2021,BBB,2021-01-27 11:55:20,"Bought 0.012 BTC/ZAR @ 488,565",Buy,83955adc,0.01200000,488565.00,5862.78,0.00,0.00,0.12784854,62615.74
2021,BBC,2021-01-27 11:55:22,"Bought 0.001 BTC/ZAR @ 488,565",Buy,890f92c9,0.00100000,488560.00,488.56,0.00,0.00,0.12884854,63104.30
2021,BBD,2021-01-27 12:16:09,"Bought 0.01205 BTC/ZAR @ 483,679",Buy,bce696a4,0.01205000,483678.84,5828.33,0.00,0.00,0.14089854,68932.63
2021,BBE,2021-01-27 12:17:16,"Bought 0.00195 BTC/ZAR @ 483,679",Buy,19c5d328,0.00195000,483676.92,943.17,0.00,0.00,0.14284854,69875.80
2021,BBF,2021-01-27 14:03:26,"Bought 0.013 BTC/ZAR @ 478,843",Buy,5e2b3c6d,0.01300000,478842.31,6224.95,0.00,0.00,0.15584854,76100.75
2021,BBG,2021-01-27 14:37:50,"Bought 0.015 BTC/ZAR @ 471,660",Buy,780fa87b,0.01500000,471660.00,7074.90,0.00,0.00,0.17084854,83175.65
2021,SAG,2021-01-28 05:09:32,"Sold 0.067 BTC/ZAR @ 497,900",Sell,08555a01,-0.00158954,534998.22,850.40,791.43,-58.97,0.16925900,82325.25
2021,SAG,2021-01-28 05:09:32,"Sold 0.067 BTC/ZAR @ 497,900",Sell,d36ee76a,-0.00471600,530000.00,2499.48,2348.10,-151.38,0.16454300,79825.77
2021,SAG,2021-01-28 05:09:32,"Sold 0.067 BTC/ZAR @ 497,900",Sell,a97d1ceb,-0.00476100,524998.95,2499.52,2370.50,-129.02,0.15978200,77326.25
2021,SAG,2021-01-28 05:09:32,"Sold 0.067 BTC/ZAR @ 497,900",Sell,a2d39898,-0.00192300,520000.00,999.96,957.46,-42.50,0.15785900,76326.29
2021,SAG,2021-01-28 05:09:32,"Sold 0.067 BTC/ZAR @ 497,900",Sell,8b0684da,-0.00194200,515000.00,1000.13,966.92,-33.21,0.15591700,75326.16
2021,SAG,2021-01-28 05:09:32,"Sold 0.067 BTC/ZAR @ 497,900",Sell,9549ea93,-0.00294100,510000.00,1499.91,1464.32,-35.59,0.15297600,73826.25
2021,SAG,2021-01-28 05:09:32,"Sold 0.067 BTC/ZAR @ 497,900",Sell,cf73717d,-0.00300000,500000.00,1500.00,1493.70,-6.30,0.14997600,72326.25
2021,SAG,2021-01-28 05:09:32,"Sold 0.067 BTC/ZAR @ 497,900",Sell,701b13e6,-0.00600000,500000.00,3000.00,2987.40,-12.60,0.14397600,69326.25
2021,SAG,2021-01-28 05:09:32,"Sold 0.067 BTC/ZAR @ 497,900",Sell,8e1350f3,-0.00998000,501000.00,4999.98,4969.04,-30.94,0.13399600,64326.27
2021,SAG,2021-01-28 05:09:32,"Sold 0.067 BTC/ZAR @ 497,900",Sell,91806478,-0.00814600,490999.26,3999.68,4055.89,56.21,0.12585000,60326.59
2021,SAG,2021-01-28 05:09:32,"Sold 0.067 BTC/ZAR @ 497,900",Sell,579c2157,-0.00831600,480999.28,3999.99,4140.54,140.55,0.11753400,56326.60
2021,SAG,2021-01-28 05:09:32,"Sold 0.067 BTC/ZAR @ 497,900",Sell,cbfadebe,-0.01368546,480999.52,6582.70,6813.99,231.29,0.10384854,49743.90
2021,BBH,2021-01-28 08:03:47,"Bought 0.01 BTC/ZAR @ 492,822",Buy,06aa0fd4,0.01000000,492822.00,4928.22,0.00,0.00,0.11384854,54672.12
2021,BBI,2021-01-28 09:08:14,"Bought 0.007477 BTC/ZAR @ 490,358",Buy,65eed7d3,0.00747700,490357.10,3666.40,0.00,0.00,0.12132554,58338.52
2021,BBJ,2021-01-28 09:08:14,"Bought 0.002523 BTC/ZAR @ 490,358",Buy,aa875f4c,0.00252300,490356.72,1237.17,0.00,0.00,0.12384854,59575.69
